Id,Year,New Or Old,Name,Address,Production Origin,Color,Fuel,Car Gearbox,Used (kilomet),Price
4403747,2020,Xe cũ,"Lexus ES 250",TP HCM,Xe nhập khẩu,màu trắng,"máy xăng 2.5 L",số tự động,13000,2 Tỷ 560 Triệu
4334187,2019,Xe cũ,"Lexus LX 570 Super Sport",TP HCM,Xe nhập khẩu,màu đen,"máy xăng 5.7 L",số tự động,32000,8 Tỷ 900 Triệu
4302819,2020,Xe cũ,"Lexus LX 570 Super Sport MBS",TP HCM,Xe nhập khẩu,màu trắng,"máy xăng 5.7 L",số tự động,17000,10 Tỷ 600 Triệu
4311855,2016,Xe cũ,"Lexus RX 350",Hà Nội,Xe nhập khẩu,màu trắng,"máy xăng 3.5 L",số tự động,48000,2 Tỷ 979 Triệu
4320720,2019,Xe cũ,"Porsche Macan S",Hà Nội,Xe nhập khẩu,màu trắng,"máy xăng 3.0 L",số tự động,55000,4 Tỷ 466 Triệu
2978446,2022,Xe mới,"Ford Ranger Limited 2.0L 4x4 AT",Hà Nội,Xe nhập khẩu,màu trắng,"máy dầu 2.0 L",số tự động,0,779 Triệu
3208507,2021,Xe mới,"BMW 7 Series 730Li",Hà Nội,Xe nhập khẩu,màu đỏ,"máy xăng 2.0 L",số tự động,0,5 Tỷ 199 Triệu
4300515,2020,Xe cũ,"Mercedes Benz GLC 200 4Matic",Hà Nội,Xe lắp ráp trong nước,màu xám,"máy xăng 2.0 L",số tự động,5000,1 Tỷ 950 Triệu
4310408,2015,Xe cũ,"Mercedes Benz E class E200 Edition",Hà Nội,Xe lắp ráp trong nước,màu đen,"máy xăng 2.0 L",số tự động,70000,940 Triệu
4260637,2022,Xe mới,"Kia Carnival Signature 2.2D",Hà Nội,Xe lắp ráp trong nước,màu xanh,"máy dầu 2.2 L",số tự động,0,1 Tỷ 489 Triệu
4259549,2022,Xe mới,"Kia Seltos Deluxe 1.4 AT",Hà Nội,Xe lắp ráp trong nước,màu đen,"máy xăng 1.4 L",số tự động,0,639 Triệu
4222172,2017,Xe cũ,"Mercedes Benz GLA class GLA 200",Hà Nội,Xe nhập khẩu,màu đen,"máy xăng 1.6 L",số tự động,35000,1 Tỷ 168 Triệu
4361917,2021,Xe cũ,"Mercedes Benz C class C200 Exclusive",Hà Nội,Xe lắp ráp trong nước,màu xanh,"máy xăng 2.0 L",số tự động,6000,1 Tỷ 659 Triệu
4206149,2022,Xe mới,"Ford Ranger XLS 2.2L 4x2 AT",Hà Nội,Xe lắp ráp trong nước,màu trắng,"máy dầu 2.2 L",số tự động,0,662 Triệu
4371900,2019,Xe cũ,"Mercedes Benz E class E200",Hà Nội,Xe lắp ráp trong nước,màu đen,"máy xăng 2.0 L",số tự động,30000,1 Tỷ 768 Triệu
4309150,2019,Xe cũ,"Mercedes Benz GLC 300 4Matic",Hà Nội,Xe lắp ráp trong nước,màu đen,"máy xăng 2.0 L",số tự động,24000,1 Tỷ 760 Triệu
4387702,2021,Xe cũ,"Lexus RX 350",Hà Nội,Xe nhập khẩu,màu trắng,"máy xăng 3.5 L",số tự động,10000,4 Tỷ 460 Triệu
3376361,2022,Xe mới,"Toyota Corolla Cross 1.8V",Bình Dương,Xe nhập khẩu,màu xanh,"máy xăng 1.8 L",số tự động,0,846 Triệu
4407723,2019,Xe cũ,"Mazda 6 Premium 2.5 AT",Hà Nội,Xe lắp ráp trong nước,màu trắng,"máy xăng 2.5 L",số tự động,20000,799 Triệu
4317474,2022,Xe mới,"Hyundai i10 1.2 MT Tiêu Chuẩn",TP HCM,Xe lắp ráp trong nước,màu trắng,"máy xăng 1.25 L",số tay,0,328 Triệu
4390743,2017,Xe cũ,"Ford Explorer Limited 2.3L EcoBoost",Hà Nội,Xe nhập khẩu,màu đỏ,"máy xăng 2.3 L",số tự động,62000,1 Tỷ 440 Triệu
3328916,2022,Xe mới,"Ford Ranger XLS 2.2L 4x2 AT",Hà Nội,Xe lắp ráp trong nước,màu xanh,"máy dầu 2.2 L",số tự động,0,640 Triệu
4363414,2006,Xe cũ,"Lexus RX 350 AWD",TP HCM,Xe nhập khẩu,màu đen,"máy xăng 3.5 L",số tự động,90000,580 Triệu
4157016,2011,Xe cũ,"Toyota Highlander SE 2.7",TP HCM,Xe nhập khẩu,màu xám,"máy xăng 2.7 L",số tự động,72000,790 Triệu
4284492,2013,Xe cũ,"LandRover Range Rover Evoque Prestige",TP HCM,Xe nhập khẩu,màu xám,"máy xăng 2.0 L",số tự động,55000,1 Tỷ 80 Triệu
4386821,2011,Xe cũ,"Mitsubishi Grandis 2.4 AT",TP HCM,Xe lắp ráp trong nước,màu trắng,"máy xăng 2.4 L",số tự động,61000,480 Triệu
4201521,2022,Xe mới,"Mazda 3 1.5L Luxury",Tiền Giang,Xe lắp ráp trong nước,màu trắng,"máy xăng 1.5 L",số tự động,0,719 Triệu
3818998,2021,Xe mới,"Hyundai SantaFe Cao cấp 2.2L HTRAC",Hà Nội,Xe lắp ráp trong nước,màu trắng,"máy dầu 2.2 L",số tự động,0,1 Tỷ 340 Triệu
