Title,Sub-category,Category,Author,Seller Name,Current Price,Origin Price,Review Rating,Sales,Publisher,Paper Size,Cover Type,Num Pages
"Cổ Phiếu Thường, Lợi Nhuận Phi Thường (Tái Bản)",Sách kinh tế học,Sách kinh tế,Philip A. Fisher,Nhà sách Fahasa,89.600 ₫,199.000 ₫,4.6,272,Công ty phát hành Alphabooks, 13 x 20.5 cm, Bìa mềm,480
Thống Kê Trong Kinh Tế Và Kinh Doanh - Statistics For Business And Economics,"Sách tài chính, kế toán",Sách kinh tế,David R. Anderson,SG Trading,425.000 ₫,440.000 ₫,4.8,1000+,Công ty phát hành Nhà Xuất Bản Kinh Tế TPHCM,19 x 24, Bìa mềm,889
Cao thủ săn kèo - Bí quyết đầu tư của tỉ phú Do Thái - Săn lùng cơ hội làm giàu từ bất động sản và M&A giữa tâm khủng hoảng,Bài học kinh doanh,Sách kinh tế,Sam Zell,Eco Trading,133.000 ₫,150.000 ₫,4.7,158, Nhà Xuất Bản Kinh Tế TPHCM, 14.5 x 20.5 cm, Bìa mềm,260
Nghệ Thuật Bán Hàng Bằng Câu Chuyện,Sách Marketing - Bán hàng,Sách kinh tế,Paul Smith,Tiki Trading,129.600 ₫,180.000 ₫,4.9,568, Nhà Xuất Bản Hồng Đức,13 x 20.5, Bìa mềm,488
9 Lần Khởi Nghiệp - Chuyện Kể Về Những Thất Bại Và Thành Công Của Một Triệu Phú,Sách doanh nhân,Sách kinh tế,Nguyễn Phương Nam,KHỞI NGHIỆP BOOK,155.000 ₫,179.000 ₫,4.9,1000+, Nhà Xuất Bản Thế Giới, 13 x 20.5 cm, Bìa mềm,260
P.Kotler Tiếp thị 4.0 - Dịch Chuyển Từ Truyền Thống Sang Công Nghệ Số,Sách doanh nhân,Sách kinh tế,"Nguyễn Khoa Hồng Thành, Hoàng Thùy Minh Anh, Nguyễn Quỳnh Như",Tiki Trading,64.200 ₫,100.000 ₫,4.8,1000+,Công ty phát hành NXB Trẻ, 13 x 20.5 cm, Bìa mềm,264
Cuộc đời kỳ lạ của Nikola Tesla (tái bản 2018),Sách doanh nhân,Sách kinh tế,Nikola Tesla,Tiki Trading,54.000 ₫,75.000 ₫,4.8,1000+,Công ty phát hành Ecoblader, 14.5 x 20.5 cm, Bìa mềm,120
Sống Theo Phương Thức 80/20 - Living The 80/20 Way (Tái Bản 2017),Sách kỹ năng làm việc,Sách kinh tế,Richard Koch,Tiki Trading,40.100 ₫,65.000 ₫,4.8,1000+,Công ty phát hành NXB Trẻ, 14.5 x 20.5 cm, Bìa mềm,228
Bí Quyết Kinh Doanh Của Người Do Thái (Tái Bản),Bài học kinh doanh,Sách kinh tế,Tri Thức Việt,Tiki Trading,60.700 ₫,89.000 ₫,4.9,450, Nhà Xuất Bản Thanh Hóa, 13.5 x 21 cm, Bìa gập,224
Nghĩ Giàu Và Làm Giàu (Khổ Nhỏ),Bài học kinh doanh,Sách kinh tế,Napoleon Hill,Nhà sách Fahasa,69.700 ₫,108.000 ₫,4.9,213, Nhà Xuất Bản Tổng hợp TP.HCM, 14.5 x 20.5 cm, Bìa mềm,416
Tiền Đẻ Ra Tiền: Đầu Tư Tài Chính Thông Minh,Bài học kinh doanh,Sách kinh tế,Ducan Bannatyne,Nhà sách Fahasa,73.000 ₫,120.000 ₫,4.8,516, Nhà Xuất Bản Hồng Đức, 13 x 20.5 cm, Bìa mềm,296
Phân Tích Thị Trường Chứng Khoán,Sách kỹ năng làm việc,Sách kinh tế,Howard Marks,Nhà sách Fahasa,94.500 ₫,189.000 ₫,4.8,176,Công ty phát hành 1980 Books,16 x 23, Bìa mềm,424
Lối Tắt Khởi Nghiệp - Con Đường Ngắn Từ Tay Trắng Đến Thành Công Bền Vững,Sách khởi nghiệp,Sách kinh tế,Dane,KHỞI NGHIỆP BOOK,125.000 ₫,169.000 ₫,4.8,1000+, Nhà Xuất Bản Đà Nẵng,16 x 23, Bìa mềm,300
