Title,Sub-category,Category,Author,Seller Name,Current Price,Origin Price,Review Rating,Sales,Publisher,Paper Size,Cover Type,Num Pages
Cú Hích (Tái Bản),Sách kỹ năng làm việc,Sách kinh tế,"Cass R. Sunstein, Richard H. Thailer",Nhà sách Fahasa,87.200 ₫,124.000 ₫,4.6,125,Công ty phát hành First News - Trí Việt, 14.5 x 20.5, Bìa mềm,304
Làm Quen Kinh Tế Học Qua Biếm Họa (Tập 1) - Kinh Tế Vi Mô,Sách kinh tế học,Sách kinh tế,Grady Klein & Yoram Bauman,Tiki Trading,55.900 ₫,86.000 ₫,4.8,1000+,Công ty phát hành Nhã Nam, 18 x 26 cm, Bìa mềm,212
8 Bí Quyết Làm Việc Hiệu Quả,Sách kỹ năng làm việc,Sách kinh tế,Marc Effron,Bookslife,52.000 ₫,129.000 ₫,5,48, Nhà Xuất Bản Lao Động, 13 x 20 cm, Bìa mềm,312
Bộ Sách Nhà Vô Địch Chứng Khoán Mỹ - Mark Minervini,"Sách tài chính, tiền tệ",Sách kinh tế,Mark Minervini,SG Trading,670.008 ₫,696.000 ₫,4.8,512,Công ty phát hành Công ty Cổ phần Sách Điện Tử Lộc (LEBI),18 x 26 cm, Bìa rời,650
Hiệu ứng chim mồi - Tập 3,Sách Marketing - Bán hàng,Sách kinh tế,"Hạo Nhiên,  Quốc Khánh",Tiki Trading,72.000 ₫,100.000 ₫,4.8,1000+, Nhà Xuất Bản Kinh Tế TPHCM, 14.5 x 20.5 cm, Bìa mềm,184
Andrew Carnegie,Sách kỹ năng làm việc,Sách kinh tế,Samuel Bostaph,Tiki Trading,69.500 ₫,139.000 ₫,4.6,381,Công ty phát hành 1980 Books, 13 x 20.5 cm, Bìa mềm,348
100 Viên Gạch Xây Dựng Kỹ Năng Lãnh Đạo,Sách kỹ năng làm việc,Sách kinh tế,Tom Salonek,Bookslife,40.000 ₫,99.000 ₫,5,51, Nhà Xuất Bản Thế Giới,13 x 20.5cm, Bìa mềm,292
Lãnh Đạo Tỉnh Thức (The Mindful Leader),"Sách quản trị, lãnh đạo",Sách kinh tế,Michael Bunting,Balanced Scorecard Vietnam,80.000 ₫,105.000 ₫,4.9,406, Nhà Xuất Bản Tổng hợp TP.HCM, 15 x 23 cm, Bìa mềm,212
Giàu Từ Chứng Khoán (Tái Bản),Bài học kinh doanh,Sách kinh tế,John Boik,Tiki Trading,95.500 ₫,139.000 ₫,4.8,377, Nhà Xuất Bản Lao Động, 13 x 20.5 cm, Bìa mềm,284
Sách Dạy Đọc Nhanh (Tái Bản),Sách kỹ năng làm việc,Sách kinh tế,Tony Buzan,Tiki Trading,176.000 ₫,228.000 ₫,4.7,1000+,Công ty phát hành Nhân Trí Việt, 14 x 21.5 cm, Bìa mềm,311
Nikola Tesla — Thiên tài hào phóng và cuộc chiến dòng điện,Sách doanh nhân,Sách kinh tế,Joseph O'Neill,Tiki Trading,108.000 ₫,150.000 ₫,4.9,254, Nhà Xuất Bản Kinh Tế TPHCM,24 x 16 cm, Bìa mềm,296
HBR On- Quản Lý Đội Nhóm (Harvard Business Review On Stratery),"Sách quản trị, lãnh đạo",Sách kinh tế,Harvard Business Review,Tiki Trading,179.000 ₫,199.000 ₫,4.4,120, Nhà Xuất Bản Đại Học Kinh Tế Quốc Dân, 20.5 x 26.5 cm, Bìa mềm,208
Nghệ Thuật Kiếm Tiền Của Người Do Thái (Tái Bản 2020),Bài học kinh doanh,Sách kinh tế,Trần Linh,Tiki Trading,71.900 ₫,90.000 ₫,4.7,474, Nhà Xuất Bản Thanh Hóa, 13.5 x 20 cm, Bìa mềm,208
Phụ Nữ Khuấy Đảo Giới Kinh Doanh,Bài học kinh doanh,Sách kinh tế,Sage Lavine,Tiki Trading,56.400 ₫,120.000 ₫,4.9,214,Công ty phát hành Saigon Books, 14 x 20.5 cm, Bìa mềm,380
Người Giải Mã Thị Trường Tài Chính - Cách Jim Simons Tiến Hành Cuộc Cách Mạng Định Lượng,"Sách tài chính, kế toán",Sách kinh tế,Gregory Zuckerman,Tiki Trading,206.000 ₫,229.000 ₫,4.9,139, Nhà Xuất Bản Thế Giới, 15.5 x 23.5 cm, Bìa mềm,432
Hình Ảnh Của Bạn Đáng Giá Triệu Đô ( Tái Bản 2019),Sách kỹ năng làm việc,Sách kinh tế,Ingrid Zhang,Tiki Trading,78.000 ₫,120.000 ₫,4.8,1000+,Công ty phát hành Tân Việt, 13.5 x 20.5 cm, Bìa mềm,513
Chiến Lược Video Marketing,Sách Marketing - Bán hàng,Sách kinh tế,Jon Mowat,Tiki Trading,131.000 ₫,165.000 ₫,4.8,173, Nhà Xuất Bản Hồng Đức, 13.5 x 21 cm, Bìa mềm,448
Tiền Tệ Và Chuyện Làm Giàu An Toàn,"Sách tài chính, tiền tệ",Sách kinh tế,GS-TS Huỳnh Ngọc Phiên,Tiki Trading,85.500 ₫,150.000 ₫,4.8,479, Nhà Xuất Bản Thế Giới, 15.5 x 23.5 cm, Bìa mềm,220
Để Hiệu Quả Trong Công Việc (Tái Bản 2019),Sách kỹ năng làm việc,Sách kinh tế,Brian Tracy,Tiki Trading,39.500 ₫,52.000 ₫,4.8,1000+,Công ty phát hành First News - Trí Việt, 14.5x20.5 cm, Bìa mềm,128
Lãnh Đạo Luôn Ăn Sau Cùng (Tái Bản 2020),Sách kỹ năng làm việc,Sách kinh tế,Simon Sinek,THAIHABOOKS,74.000 ₫,110.000 ₫,5,20, Nhà Xuất Bản Lao Động Xã Hội, 15.5 x 24 cm, Bìa mềm,314
Từ Zero Đến Zara,Sách kỹ năng làm việc,Sách kinh tế,Covandonga O’Shea,Tiki Trading,68.300 ₫,95.000 ₫,4.7,1000+,Công ty phát hành Thái Hà, 13 x 20.5 cm, Bìa mềm,337
Kiểm Soát Chi Phí Mua Hàng Và Quản Lí Nhà Cung Cấp,"Sách quản trị, lãnh đạo",Sách kinh tế,Chu Vân,Nhà sách Fahasa,127.400 ₫,190.000 ₫,4.7,149, Nhà Xuất Bản Thanh Niên,16 x 23, Bìa mềm,592
Tư duy tận dụng - Lấy ít thắng nhiều,Bài học kinh doanh,Sách kinh tế,Scott Sonenshein,Tiki Trading,93.600 ₫,130.000 ₫,4.8,336,Công ty phát hành Ecoblader,24 x 16 cm, Bìa mềm,240
Hiệu Ứng Lan Truyền (Tái Bản),Sách kinh tế học,Sách kinh tế,Jonah Berger,Nhà sách Fahasa,69.700 ₫,89.000 ₫,5,106,Công ty phát hành Thái Hà, 14.5 x 20.5 cm, Bìa mềm,311
Tinh Hoa Kinh Tế Học (Essentials Of Economics),Sách kinh tế học,Sách kinh tế,"Paul Krugman, Robin Wells",Balanced Scorecard Vietnam,426.000 ₫,555.000 ₫,4.8,199, Nhà Xuất Bản Tổng hợp TP.HCM, 19 x 27.5 cm, Bìa cứng,780
"Nhanh Hơn, Khao Khát Hơn",Sách kỹ năng làm việc,Sách kinh tế,Jonathan Yabut,,30.000 ₫,80.000 ₫,4.8,55, Nhà Xuất Bản Hồng Đức, 14 x 20.5 cm, Bìa mềm,191
Bí Quyết Trở Thành Nhà Quản Lý Tài Ba,"Sách quản trị, lãnh đạo",Sách kinh tế,Julie Zhuo,Tiki Trading,129.000 ₫,168.000 ₫,4.9,516, Nhà Xuất Bản Tổng hợp TP.HCM, 14.5 x 20.5 cm, Bìa gập,327
Kỹ Năng Lập Kế Hoạch Hiệu Quả,Sách kỹ năng làm việc,Sách kinh tế,Shibamoto Hidenori,Bookslife,66.000 ₫,110.000 ₫,5,10, Nhà Xuất Bản Thế Giới, 13.5 x 20.5 cm, Bìa mềm,264
Để Trở Thành Người Bán Hàng Giỏi Nhất Thế Giới,Sách kỹ năng làm việc,Sách kinh tế,Stanley H. Brown,Nhà sách Fahasa,103.600 ₫,168.000 ₫,4.9,149,Công ty phát hành BIZBOOKS, 13 x 20.5 cm, Bìa mềm,284
Hướng Dẫn Căn Bản Cách Kiếm Tiền Từ Youtube,Sách khởi nghiệp,Sách kinh tế,"Benji Travis, Sean Canell",Bookslife,89.000 ₫,149.000 ₫,5,6, Nhà Xuất Bản Lao Động, 13 x 20 cm, Bìa mềm,308
Sức Mạnh Làm Giàu Kỳ Diệu - Nghĩ Giàu & Làm Giàu - Những Nấc Thang Kỳ Diệu Chạm Đến Thành Công Chìa Khóa Thành Công (Napoleon Hill),Bài học kinh doanh,Sách kinh tế,Napoleon Hill,Tiki Trading,104.000 ₫,150.000 ₫,4.8,322, Nhà Xuất Bản Dân Trí, 16 x 24 cm, Bìa mềm,652
Hồi Ký Rich DeVos - Con Đường Tỷ Phú (Tái Bản),Bài học kinh doanh,Sách kinh tế,Rich Devos,Tiki Trading,195.640 ₫,268.000 ₫,4.9,345, Nhà Xuất Bản Thanh Niên, 16 x 24 cm, Bìa mềm,312
Lựa Chọn Thông Minh Trong Kinh Doanh,Bài học kinh doanh,Sách kinh tế,"Jennifer Riel, Roger L. Martin",Tiki Trading,74.500 ₫,149.000 ₫,4.7,144,Công ty phát hành 1980 Books, 13.5 x 20.5 cm, Bìa mềm,404
FPT Bí Lục - Khám Phá Văn Hoá Doanh Nghiệp Tại FPT,Bài học kinh doanh,Sách kinh tế,Nhiều tác giả,Tiki Trading,133.330 ₫,199.000 ₫,4.8,225, Nhà Xuất Bản Hà Nội, 15.5 x 24 cm, Bìa mềm,480
Tư Duy Như Những Nhà Đầu Tư Vĩ Đại (Tái Bản 2020),Sách doanh nhân,Sách kinh tế,Colin Nicholson,Tiki Trading,117.000 ₫,175.000 ₫,4.8,445, Nhà Xuất Bản Tài Chính, 16 x 24 cm, Bìa mềm,336
Ước Mơ Của Bạn Nhất Định Thành Hiện Thực,Sách khởi nghiệp,Sách kinh tế,Inamori Kazuo,Tiki Trading,37.000 ₫,50.000 ₫,4.8,1000+,Công ty phát hành NXB Trẻ, 14 x 20 cm, Bìa mềm,216
Chiến Lược Đầu Tư Chứng Khoán (Tái Bản),Bài học kinh doanh,Sách kinh tế,"David Brown, Kassandra Bentley",Nhà sách Fahasa,93.700 ₫,169.000 ₫,4,18, Nhà Xuất Bản Lao Động, 13 x 20.5 cm, Bìa mềm,368
Thiết Kế Lấy Người Dùng Làm Trung Tâm,Sách Marketing - Bán hàng,Sách kinh tế,Don Norman,Alpha Books Official,129.350 ₫,199.000 ₫,5,20,Công ty phát hành Alphabooks, 16 x 24 cm, Bìa mềm,424
Dạy Con Làm Giàu (Tập 13) - Nâng Cao Chỉ Số IQ Tài Chính (Tái Bản),Bài học kinh doanh,Sách kinh tế,Robert T.Kiyosaki,Nhà sách Fahasa,49.900 ₫,100.000 ₫,4.9,112, NXB Trẻ, 13 x 20.5 cm, Bìa mềm,328
Tinh Hoa Kinh Tế Học (Tái Bản),Sách kinh tế học,Sách kinh tế,"Paul Krugman, Robin Wells",Tiki Trading,394.050 ₫,555.000 ₫,5,55, Nhà Xuất Bản Tổng hợp TP.HCM, 19 x 27.5 cm, Bìa cứng,780
Khám Phá Vận Mệnh - 7 Bước Đánh Thức Bản Thân,Sách kỹ năng làm việc,Sách kinh tế,Robin Sharma,Tiki Trading,109.000 ₫,145.000 ₫,5,65, NXB Trẻ, 13x20.5cm, Bìa mềm,320
Cảng Biển Và Logistics - Nhìn Lại Một Hành Trình Phát Triển,Sách kinh tế học,Sách kinh tế,nhieu tac gia,,130.000 ₫,200.000 ₫,4.6,75, NXB Dân Trí,20.5 x 14 cm, Bìa mềm,452
Cánh Cửa Trí Tuệ Của Người Do Thái (Tái Bản),Bài học kinh doanh,Sách kinh tế,Lý Quế Đông,Tiki Trading,59.300 ₫,78.000 ₫,4.6,119, Nhà Xuất Bản Thanh Hóa, 13.5 x 21 cm, Bìa gập,192
Do Big Things,Sách kỹ năng làm việc,Sách kinh tế,Craig W. Ross - Angela V. Paccione - Victoria L. Roberts,Tiki Trading,69.500 ₫,139.000 ₫,4.2,171,Công ty phát hành 1980 Books," 13x20,5cm", Bìa mềm,408
Getting To “Yes And”: Nghệ Thuật Sáng Tạo Trong Kinh Doanh,Sách kỹ năng làm việc,Sách kinh tế,Bob Kulhan,Tiki Trading,84.500 ₫,169.000 ₫,4.6,353,Công ty phát hành 1980 Books, 14 x 20.5 cm, Bìa mềm,468
Khiêu Vũ Với Ngòi Bút (Tái Bản),Sách kỹ năng làm việc,Sách kinh tế,Joseph Sugarman,Nhà sách Fahasa,106.600 ₫,145.000 ₫,4.9,112,Công ty phát hành Thái Hà, 19 x 23.5, Bìa mềm,439
Tâm Lí Học - Khái Lược Những Tư Tưởng Lớn,Bài học kinh doanh,Sách kinh tế,DK,Tiki Trading,284.000 ₫,390.000 ₫,4.8,1000+,Công ty phát hành Công Ty Cổ Phần Văn Hóa Đông A, 19.3 x 23.5 cm, Bìa cứng,352
Sự Cứu Chuộc Một Sát Thủ Kinh Tế,Bài học kinh doanh,Sách kinh tế,John Perkins,Tiki Trading,100.750 ₫,155.000 ₫,4.9,200, Nhà Xuất Bản Dân Trí, 14 x 20.5 cm, Bìa mềm,352
Cảng Biển Và Logistics - Nhìn Lại Một Hành Trình Phát Triển,Bài học kinh doanh,Sách kinh tế,Đặng Dương,Tiki Trading,155.000 ₫,200.000 ₫,4.9,97, Nhà Xuất Bản Dân Trí, 14 x 20.5 cm, Bìa mềm,452
6 Thực Hành Thiết Yếu Để Quản Trị Đội Ngũ (Everyone Deserves A Great Manager: The 6 Critical Practices For Leading A Team),Sách quản trị nhân lực,Sách kinh tế,"Todd Davis, Victoria Roos Olsson, Scott Jeffrey Miller",Tiki Trading,86.000 ₫,125.000 ₫,4.8,456, Nhà Xuất Bản Tổng hợp TP.HCM, 15 x 23 cm, Bìa mềm,244
Dịch Vụ Khách Hàng 5 Sao,Sách kỹ năng làm việc,Sách kinh tế,Michael Heppell,Nhà sách Fahasa,81.800 ₫,129.000 ₫,5,32,Công ty phát hành Alphabooks, 13 x 20.5 cm, Bìa mềm,328
Quảng Cáo Theo Phong Cách Ogilvy (Tái Bản 2018),Sách kỹ năng làm việc,Sách kinh tế,David Ogilvy,Nhà sách Fahasa,109.850 ₫,169.000 ₫,5,4, Nhà Xuất Bản Lao Động Xã Hội, 16 x 24 cm, Bìa mềm,316
Kiểm Toán Độc Lập Và Những Kỹ Năng Chuyên Nghiệp Thành Công,"Sách tài chính, kế toán",Sách kinh tế,Phạm Thế Hưng,Tiki Trading,130.000 ₫,199.000 ₫,4.4,52, Nhà Xuất Bản Dân Trí, 14.5 x 20 cm, Bìa mềm,296
Thời Kỳ Hậu Corona: Luôn Có Cơ Hội Trong Khủng Hoảng,Bài học kinh doanh,Sách kinh tế,Scott Galloway,Tiki Trading,159.600 ₫,280.000 ₫,4.7,1000+, Nhà Xuất Bản Thế Giới, 15.5 x 23.5 cm, Bìa cứng,256
Tối Đa Hoá Năng Lực Nhân Viên (Tái Bản),Sách quản trị nhân lực,Sách kinh tế,William J. Rothwell,Tiki Trading,82.200 ₫,119.000 ₫,4.8,1000+,Công ty phát hành Alphabooks, 13 x 20.5 cm, Bìa mềm,320
Trump 101: Con Đường Dẫn Đến Thành Công (Tái Bản 2017),Bài học kinh doanh,Sách kinh tế,Donald J. Trump - Meredith Mclver,,47.200 ₫,70.000 ₫,5,34, NXB Trẻ, 14 x 20 cm, Bìa mềm,240
Tại Sao Càng Bận Càng Nghèo Càng Nhàn Càng Giàu (Tái Bản 2020),Bài học kinh doanh,Sách kinh tế,Trương Tinh Vũ,Tiki Trading,42.400 ₫,65.000 ₫,4.5,434, Nhà Xuất Bản Thanh Hóa, 13.5 x 21 cm, Bìa mềm,160
Cách Người Do Thái Quản Lý Tiền Và Tài Sản (Tái Bản),Bài học kinh doanh,Sách kinh tế,Tiến Thành,Tiki Trading,74.600 ₫,95.000 ₫,4.5,70, Nhà Xuất Bản Thanh Hóa, 13.5 x 21 cm, Bìa mềm,216
Thế Hệ Z : Hiểu Rõ Về Thế Hệ Sẽ Định Hình Tương Lai Doanh Nghiệp,Bài học kinh doanh,Sách kinh tế,"Tom Koulopoulos, Dan Keldsen",BestBooks Store,111.200 ₫,139.000 ₫,4.7,290, Nhà Xuất Bản Công Thương, 15.5x24 cm, Bìa mềm,316
Kỹ Năng Phiên Dịch,Sách kỹ năng làm việc,Sách kinh tế,Komatsu Tatsuya,Tiki Trading,103.000 ₫,148.000 ₫,4.7,141, Nhà Xuất Bản Thanh Niên, 13 x 18.5 cm, Bìa mềm,352
Người Phụ Nữ Giàu - Kiểm Soát Đồng Tiền. Quản Lý Cuộc Đời!,Bài học kinh doanh,Sách kinh tế,Kim Kiyosaki,Nhà sách Fahasa,64.700 ₫,115.000 ₫,5,170,Công ty phát hành NXB Trẻ, 14 x 20 cm, Bìa mềm,352
Xây Dựng Một Nhóm Kinh Doanh Thành Công (Tái Bản),Bài học kinh doanh,Sách kinh tế,Blair Singer,Tiki Trading,44.800 ₫,55.000 ₫,4.8,1000+,Công ty phát hành NXB Trẻ, 14 x 20 cm, Bìa mềm,204
Thẻ Điểm Cân Bằng - The Balanced Scorecard (Tái Bản 2020),Bài học kinh doanh,Sách kinh tế,"David P.Norton, Robert S.Kaplan",Tiki Trading,120.000 ₫,175.000 ₫,5,431, Nhà Xuất Bản Tổng hợp TP.HCM, 15 x 23 cm, Bìa cứng,448
Thất Bại Của Danh Nhân,Sách doanh nhân,Sách kinh tế,Masato Oono,Tiki Trading,77.900 ₫,109.000 ₫,5,50, Nhà Xuất Bản Phụ Nữ Việt Nam, 14.3 x 20.5 cm, Bìa mềm,176
7 Chiến Lược Bất Động Sản,Sách Marketing - Bán hàng,Sách kinh tế,Erez Cohen,Tiki Trading,106.700 ₫,158.000 ₫,4.5,987, Nhà Xuất Bản Công Thương, 14 x 20 cm, Bìa mềm,456
Inbound Content - Xây Dựng Chiến Lược Nội Dung Theo Phương Thức Inbound,Sách Marketing - Bán hàng,Sách kinh tế,JUSTIN CHAMPION,Nhà sách Fahasa,98.100 ₫,148.000 ₫,4.9,329, Nhà Xuất Bản Tổng hợp TP.HCM, 14.5 x 20.5 cm, Bìa mềm,336
Bí Quyết Đầu Tư & Kinh Doanh Chứng Khoán Của Tỷ Phú Warren Buffett Và George Soros (Tái Bản 2020),Bài học kinh doanh,Sách kinh tế,Mark Tier,Tiki Trading,115.340 ₫,158.000 ₫,4.8,397, Nhà Xuất Bản Tổng hợp TP.HCM, 14.5x20.5, Bìa gập,408
Kanban - Quản Lý Công Việc Hiệu Quả,Sách kỹ năng làm việc,Sách kinh tế,Dominica DeGrandis,Bookslife,94.000 ₫,158.000 ₫,4,7, Nhà Xuất Bản Dân Trí, 13 x 30 cm, Bìa mềm,376
Sai Lầm Chết Người Trong Đầu Tư,Bài học kinh doanh,Sách kinh tế,Michael Batnick,Nhà sách Fahasa,55.800 ₫,120.000 ₫,4.8,120,Công ty phát hành NXB Trẻ, 13 x 20.5 cm, Bìa mềm,328
Hiệu ứng chim mồi - Tập 2 (tái bản 2018),Sách Marketing - Bán hàng,Sách kinh tế,"Hạo Nhiên, Quốc Khánh",Tiki Trading,57.600 ₫,80.000 ₫,4.8,1000+,Công ty phát hành Ecoblader,14.5 x 20.5 cm, Bìa mềm,144
Những Mẫu Chuyện Hài Hước Trong Xử Thế Của Người Do Thái (Tái Bản),Bài học kinh doanh,Sách kinh tế,Hoa Sơn,Tiki Trading,51.900 ₫,75.000 ₫,4.9,74, Nhà Xuất Bản Thanh Hóa, 13.5 x 21 cm, Bìa mềm,184
PLATFORM - Nền Tảng Phát Triền Thương Hiệu Cá Nhân,Sách Marketing - Bán hàng,Sách kinh tế,Cynthia Johnson,Tiki Trading,69.500 ₫,139.000 ₫,4.8,407,Công ty phát hành 1980 Books, 13 x 20 cm, Bìa mềm,412
Kết Thúc Bán Hàng Đòn Quyết Định (Tái Bản),Sách Marketing - Bán hàng,Sách kinh tế,Brian Tracy,Omega Plus Books,70.850 ₫,109.000 ₫,4.8,91, Nhà Xuất Bản Lao Động Xã Hội, 13 x 20.5 cm, Bìa mềm,252
Tuổi Trẻ 4.0: Hiểu Rõ Về Thế Hệ Trẻ Trong Thời Đại 4.0 Để Phát Triển Doanh Nghiệp Bền Vững,"Sách quản trị, lãnh đạo",Sách kinh tế,Rocky Scopelliti,BestBooks Store,82.560 ₫,103.200 ₫,4.6,77, Nhà Xuất Bản Công Thương, 14.5 x 20.5 cm, Bìa mềm,272
Muji – Đơn Giản Là Hoàn Mỹ,Bài học kinh doanh,Sách kinh tế,Nikkei Design,Tiki Trading,79.730 ₫,119.000 ₫,4.8,588, Nhà Xuất Bản Công Thương, 14.5 x 20.5 cm, Bìa mềm,196
Trên Đỉnh Phố Wall (Tái Bản 2021),Bài học kinh doanh,Sách kinh tế," John Rothchild, Peter Lynch, Peter Lynch",Nhà sách Fahasa,135.200 ₫,219.000 ₫,4.7,225, Nhà Xuất Bản Lao Động, 13 x 20.5 cm, Bìa mềm,572
Tiền Tệ Ngân Hàng Và Thị Trường Tài Chính,"Sách tài chính, tiền tệ",Sách kinh tế,Nguyễn Văn Ngọc,Nhà sách Fahasa,314.500 ₫,338.000 ₫,4.8,98, Nhà Xuất Bản ĐH Kinh Tế Quốc dân, 16 x 24 cm, Bìa mềm,687
Các Quy Luật Của Tiền (Tái Bản Lần 1 ),"Sách tài chính, tiền tệ",Sách kinh tế,Suze Orman,Rbooks Corp,95.000 ₫,160.000 ₫,4.8,436,Công ty phát hành CÔNG TY TNHH R BOOKS,, Bìa mềm,355
"Làm Ra Làm, Chơi Ra Chơi",Sách kỹ năng làm việc,Sách kinh tế,Cal Newport,Sống Official,102.650 ₫,159.000 ₫,5,56, Nhà Xuất Bản Lao Động, 13 x 20.5 cm, Bìa mềm,356
Cổ Phiếu Thường Lợi Nhuận Phi Thường (Tái Bản),Bài học kinh doanh,Sách kinh tế,Philip A.Fisher,Tiki Trading,137.000 ₫,199.000 ₫,4.8,214, Nhà Xuất Bản Công Thương, 13 x 20.5 cm, Bìa mềm,480
Nghệ Thuật Viết Quảng Cáo,Sách Marketing - Bán hàng,Sách kinh tế,Victor O. Schwab,THBooks,100.050 ₫,145.000 ₫,4.8,199, Nhà Xuất Bản Hà Nội, 13 x 20.5 cm, Bìa mềm,372
Đầu Tư Chứng Khoán Khôn Ngoan Khi Bạn Không Phải Cá Mập,Bài học kinh doanh,Sách kinh tế,Kevin J. Davey,Tiki Trading,105.000 ₫,158.000 ₫,4.6,691, Nhà Xuất Bản Công Thương, 13 x 20.5 cm, Bìa mềm,382
Kinh Doanh Giỏi Phải Kiếm Được Tiền,Sách Marketing - Bán hàng,Sách kinh tế,Donald Miller,Tiki Trading,111.000 ₫,159.000 ₫,4.8,137, Nhà Xuất Bản Công Thương, 13 x 19 cm, Bìa mềm,368
Nền Kinh Tế Tăng Trưởng Và Sụp Đổ Như Thế Nào? (Tái Bản 2020),Sách kinh tế học,Sách kinh tế,"Peter D. Schiff, Andrew J. Schiff",Nhà sách Fahasa,122.700 ₫,152.000 ₫,4.9,100, Nhà Xuất Bản Hồng Đức, 14.5 x 20.5 cm, Bìa mềm,292
Lời Tự Thú Của Một Bậc Thầy Quảng Cáo (Tái Bản 2017),Sách Marketing - Bán hàng,Sách kinh tế,David Ogilvy,Tiki Trading,82.200 ₫,119.000 ₫,4.8,1000+,Công ty phát hành Alphabooks, 13 x 20.5 cm, Bìa mềm,266
Cuốn Cẩm Nang Bổ Ích Gồm Những Lời Khuyên Về Việc Làm Sao Để Đạt Hiệu Quả Trong Công Việc: 8 Bí Quyết Làm Việc Hiệu Quả (Tặng Cây Viết Galaxy),Sách kỹ năng làm việc,Sách kinh tế,Marc Effron,Tiki Trading,64.500 ₫,129.000 ₫,4.5,29,Công ty phát hành 1980 Books, 13 x 20 cm, Bìa mềm,312
Triệu phú thần tốc,Sách khởi nghiệp,Sách kinh tế,MJ DeMarco,Nền Tảng Thành Công,199.999 ₫,399.000 ₫,4.8,429, Nhà Xuất Bản Dân Trí, 13 x 20 cm, Bìa mềm,258
Trải Nghiệm Apple - Xây Dựng Lòng Trung Thành Không Chỉ Từ Sản Phẩm,Sách Marketing - Bán hàng,Sách kinh tế,Carmine Gallo,Nhà sách Fahasa,163.100 ₫,239.000 ₫,5,11, Nhà Xuất Bản Lao Động, 14.5 x 20.5 cm, Bìa cứng,480
Đầu Tư Bất Động Sản,Bài học kinh doanh,Sách kinh tế,Gang W.Eldred,Tiki Trading,421.000 ₫,468.000 ₫,4.8,440, Nhà Xuất Bản Xây Dựng, 17 x 24 cm, Bìa mềm,512
Cuộc Cách Mạng Blockchain,Sách kinh tế học,Sách kinh tế,"Don Tapscott, Alex Tapscott",Tiki Trading,219.800 ₫,299.000 ₫,4.6,1000+,Công ty phát hành Alphabooks, 16 x 24 cm, Bìa mềm,506
Big Data - Công Nghệ Cốt Lõi Trong Kỷ Nguyên Số,Sách kỹ năng làm việc,Sách kinh tế,Thomas Davenporrt,Bookslife,89.000 ₫,149.000 ₫,5,3, Nhà Xuất Bản Công Thương, 13.5 x 20 cm, Bìa mềm,352
Kỷ Nguyên Tiền Điện Tử,Sách kỹ năng làm việc,Sách kinh tế,"Paul Vigna, Michael J. Casey",Bookslife,113.000 ₫,189.000 ₫,4.9,75, Nhà Xuất Bản Đại Học Kinh Tế Quốc Dân,, Bìa mềm,660
Chính Bắc (Discover Your True North) - Khám Phá Ra “Chiếc La Bàn Nội Tâm” Của Chính Mình Để Dẫn Dắt Bản Thân Nhằm Trở Thành Nhà Lãnh Đạo Đích Thực (Tái Bản),Sách quản trị nhân lực,Sách kinh tế,Bill George,Tiki Trading,105.000 ₫,155.000 ₫,5,108, Nhà Xuất Bản Tổng hợp TP.HCM, 15 x 23 cm, Bìa cứng,340
Sức Mạnh Của Toàn Tâm Toàn Ý (Tái Bản 2018),Sách kỹ năng làm việc,Sách kinh tế,"Jim Loehr, Tony Schwartz",Tiki Trading,103.000 ₫,149.000 ₫,4.8,1000+,Công ty phát hành Alphabooks, 13 x 20.5 cm, Bìa mềm,392
Thực Hành Drucker,"Sách quản trị, lãnh đạo",Sách kinh tế,William A. Cohen,Tiki Trading,107.250 ₫,165.000 ₫,4.9,76, Nhà Xuất Bản Dân Trí, 14x20.5 cm, Bìa mềm,392
Đầu Tư Bất Động Sản,Bài học kinh doanh,Sách kinh tế,Ken Mcelroy,Tiki Trading,86.900 ₫,110.000 ₫,5,55, NXB Trẻ, 14x20cm, Bìa mềm,238
Kỹ Năng Quản Lý Dự Án Hiệu Quả,Sách kỹ năng làm việc,Sách kinh tế,Clydebank Business,,66.000 ₫,110.000 ₫,4.8,49, Nhà Xuất Bản Phụ Nữ, 13 x 20 cm, Bìa mềm,264
Truyền Thông Nội Bộ: Linh Hồn Của Doanh Nghiệp,Sách quản trị nhân lực,Sách kinh tế,"Annabel Dunstan, Imogen Osborne",Tiki Trading,85.500 ₫,150.000 ₫,4.8,789, Nhà Xuất Bản Thế Giới, 14 x 20.5 cm, Bìa mềm,328
Tinh Hoa Quản Trị Dự Án,"Sách quản trị, lãnh đạo",Sách kinh tế,Kory Kogon,Tiki Trading,100.740 ₫,138.000 ₫,4.6,803,Công ty phát hành First News - Trí Việt, 14.5 x 20.5 cm, Bìa mềm,268
Chiến Lược Dữ Liệu,Sách kỹ năng làm việc,Sách kinh tế,Bernard Marr,Nhà sách Fahasa,107.800 ₫,158.000 ₫,4.6,66,Công ty phát hành First News - Trí Việt, 16 x 24 cm, Bìa mềm,276
7 Chiến Lược Thịnh Vượng Và Hạnh Phúc (Tái Bản),Sách kỹ năng làm việc,Sách kinh tế,Jim Rohn,Tiki Trading,56.950 ₫,85.000 ₫,5,69, Nhà Xuất Bản Thế Giới,14.5 x 20.5 cm, Bìa mềm,216
