price,Displacement,Odometer,Stroke,Year,Weight,Engine Torque,Fuel Capacity
3465.0,1923.0,26631.0,4.5,2019.0,756.0,125.0,6.0
28994.0,1868.0,28181.0,4.5,2019.0,756.0,122.0,6.0
28994.0,1868.0,5015.0,4.5,2019.0,756.0,122.0,6.0
27885.0,1868.0,1825.0,4.5,2019.0,756.0,122.0,6.0
27990.0,1868.0,6345.0,4.5,2019.0,756.0,122.0,6.0
27995.0,1868.0,2700.0,4.5,2019.0,756.0,122.0,6.0
28495.0,1868.0,2495.0,4.5,2019.0,756.0,122.0,6.0
8400.0,1868.0,9241.0,4.5,2019.0,756.0,122.0,6.0
35853.0,1923.0,20357.466614906833,4.5,2004.0,756.0,125.0,6.0
35853.0,1923.0,8543.0,4.5,2019.0,756.0,125.0,6.0
35853.0,1923.0,20357.466614906833,4.5,2000.0,756.0,125.0,6.0
29995.0,1868.0,1686.0,4.5,2019.0,756.0,122.0,6.0
28750.0,1868.0,3416.0,4.5,2019.0,756.0,122.0,6.0
19995.0,1746.0,9359.0,4.375,2019.0,754.0,108.0,5.0
16999.0,1746.0,20357.466614906833,4.374,2007.0,754.0,110.0,5.0
14599.0,1746.0,11826.0,4.374,2019.0,754.0,110.0,5.0
27995.0,1868.0,25517.0,4.5,2019.0,756.0,122.0,6.0
28999.0,1868.0,34981.0,4.5,2019.0,756.0,122.0,6.0
26995.0,1868.0,28522.0,4.5,2019.0,756.0,122.0,6.0
15995.0,1746.0,4880.0,4.374,2019.0,754.0,110.0,3.5
15450.0,1746.0,2460.0,4.374,2019.0,754.0,110.0,3.5
14995.0,1746.0,5030.0,4.374,2019.0,754.0,110.0,3.5
19999.0,1746.0,10540.0,4.374,2019.0,754.0,109.0,3.5
19999.0,1746.0,2300.0,4.374,2019.0,754.0,109.0,3.5
18999.0,1868.0,10941.0,4.5,2019.0,754.0,119.0,4.4
4095.0,1746.0,542.0,4.374,2019.0,754.0,107.0,3.6
17890.0,1868.0,4597.0,4.5,2019.0,754.0,118.0,3.6
19495.0,1868.0,10816.0,4.5,2019.0,754.0,118.0,3.6
19749.0,1868.0,20357.466614906833,4.5,2018.0,754.0,118.0,3.6
15997.0,1746.0,20357.466614906833,4.375,2009.0,754.0,110.0,5.0
9999.0,749.0,2220.0,3.0,2019.0,754.0,47.0,3.5
10494.0,1202.0,1649.0,3.8,2019.0,754.0,76.0,3.3
9995.0,1202.0,2934.0,3.8,2019.0,754.0,73.0,3.3
11995.0,1202.0,3351.0,3.8,2019.0,754.0,73.0,2.1
9994.0,883.0,20357.466614906833,3.811,2008.0,754.0,53.8,3.3
