price, origin,condition,carType,km,carColor,interiorColor,carDoor,carSeat,gear,wheelDrive,carMaker,yearsManufacturing,capacity,carEngine
370.0,Lắp ráp trong nước,Xe đã dùng,Sedan,75000,Nâu,Nhiều màu,4,5.0,Số tự động,"FWD,Dẫn động cầu trước",Honda,2014,1.5,Xăng
2499.0,Lắp ráp trong nước,Xe đã dùng,Sedan,14000,Đỏ,Đen,4,5.0,Số tự động,"RFD,Dẫn động cầu sau",Mercedes,2020,2.0,Xăng
1379.0,Lắp ráp trong nước,Xe đã dùng,Van/Minivan,5000,Đen,Kem,5,8.0,Số tự động,"FWD,Dẫn động cầu trước",Kia,2022,2.2,Dầu
510.0,Nhập khẩu,Xe đã dùng,Sedan,6000,Đỏ,Đen,4,5.0,Số tự động,"FWD,Dẫn động cầu trước",Mazda,2019,1.5,Xăng
950.0,Lắp ráp trong nước,Xe mới,SUV,0,Đỏ,Đen,5,7.0,Số tự động,"FWD,Dẫn động cầu trước",Mitsubishi,2022,2.0,Xăng
585.0,Lắp ráp trong nước,Xe đã dùng,Sedan,20000,Nâu,Kem,4,5.0,Số tự động,"FWD,Dẫn động cầu trước",Toyota,2021,1.5,Xăng
648.0,Nhập khẩu,Xe mới,SUV,0,Đen,Đen,5,7.0,Số tự động,"FWD,Dẫn động cầu trước",Mitsubishi,2022,1.5,Xăng
888.0,Nhập khẩu,Xe đã dùng,Sedan,70000,Trắng,Kem,5,5.0,Số tự động,"FWD,Dẫn động cầu trước",Audi,2013,2.0,Xăng
530.0,Nhập khẩu,Xe mới,Hatchback,0,Đỏ,Màu khác,5,5.0,Số tự động,"FWD,Dẫn động cầu trước",Suzuki,2022,1.2,Xăng
1159.0,Lắp ráp trong nước,Xe mới,SUV,0,Xanh,Màu khác,5,7.0,Số tự động,"FWD,Dẫn động cầu trước",Kia,2022,2.2,Dầu
4050.0,Nhập khẩu,Xe đã dùng,SUV,18000,Trắng,Nâu,5,5.0,Số tự động,"AWD,4 bánh toàn thời gian",Lexus,2019,3.5,Xăng
470.0,Nhập khẩu,Xe đã dùng,Hatchback,99000,Bạc,Đen,5,5.0,Số tự động,"FWD,Dẫn động cầu trước",Toyota,2015,1.3,Xăng
728.0,Lắp ráp trong nước,Xe đã dùng,Sedan,16000,Trắng,Đen,4,5.0,Số tự động,"FWD,Dẫn động cầu trước",Toyota,2021,1.8,Xăng
5199.0,Nhập khẩu,Xe mới,SUV,0,Vàng,Kem,4,5.0,Số tự động,"AWD,4 bánh toàn thời gian",LandRover,2022,2.0,Xăng
616.0,Lắp ráp trong nước,Xe đã dùng,Sedan,18000,Đỏ,Đen,4,5.0,Số tự động,"FWD,Dẫn động cầu trước",Honda,2021,1.5,Xăng
320.0,Nhập khẩu,Xe mới,Sedan,0,Trắng,Đen,4,5.0,Số tay,"FWD,Dẫn động cầu trước",Mitsubishi,2022,1.2,Xăng
4190.0,Nhập khẩu,Xe mới,SUV,0,Cát,Nâu,5,5.0,Số tự động,"AWD,4 bánh toàn thời gian",Lexus,2022,3.5,Xăng
685.0,Nhập khẩu,Xe đã dùng,Bán tải / Pickup,17000,Đen,Đen,4,5.0,Số tự động,"RFD,Dẫn động cầu sau",Ford,2020,2.2,Dầu
