,Name,Price,Rating,Reviews,Location
111,Meander Saigon,837.9,8.9,122.0,"District 1, Ho Chi Minh City"
112,Spring House Hotel,500.0,7.9,42.0,"District 1, Ho Chi Minh City"
113,RedDoorz Marieline 1 Hotel,385.0,8.1,239.0,"District 1, Ho Chi Minh City"
114,Palace Hotel Saigon,992.262,7.3,231.0,"District 1, Ho Chi Minh City"
115,Le Méridien Saigon,3888.0,8.7,85.0,"District 1, Ho Chi Minh City"
116,Pharaon Hotel,545.965,8.2,34.0,Ho Chi Minh City
117,INDO Serviced Apartment,659.6,8.2,223.0,"District 1, Ho Chi Minh City"
118,Trường Cán Bộ Quản Lý Nông Nghiệp Và Phát Triển Nông Thôn 2,465.0,7.6,35.0,"District 1, Ho Chi Minh City"
119,RedDoorz Quynh Giang near HIECC Tan Binh,347.327,7.7,244.0,"Tan Binh, Ho Chi Minh City"
120,The Reverie Saigon,6325.475,9.3,225.0,"District 1, Ho Chi Minh City"
121,Sanouva Saigon Hotel,964.449,8.7,196.0,"District 1, Ho Chi Minh City"
122,Green Cocoon,585.0,8.3,276.0,"Binh Thanh, Ho Chi Minh City"
123,Little Brick Saigon Hotel,452.57,8.1,124.0,"District 1, Ho Chi Minh City"
124,Eastin Grand Hotel Saigon,1398.831,8.6,265.0,"Phu Nhuan, Ho Chi Minh City"
125,Windsor Plaza Hotel,2069.732,8.5,142.0,"District 5, Ho Chi Minh City"
126,Galaxy Hotel,659.25,8.6,27.0,"District 7, Ho Chi Minh City"
127,A in Hotel Glamour,490.05,7.9,495.0,"District 2, Ho Chi Minh City"
128,BLESSED Hotel,820.8,8.7,40.0,"District 7, Ho Chi Minh City"
129,Venus Hotel,330.0,7.9,275.0,"Go Vap District , Ho Chi Minh City"
130,Sky Villa,3245.0,9.3,19.0,"District 4, Ho Chi Minh City"
131,Shinhua Hotel,570.0,8.6,118.0,"District 7, Ho Chi Minh City"
132,Bong Sen Hotel Saigon,852.402,7.7,106.0,"District 1, Ho Chi Minh City"
133,Queen Ann Hotel,728.0,8.8,140.0,"District 1, Ho Chi Minh City"
134,La Memoria Hotel - City Centre,601.026,9.0,315.0,"District 1, Ho Chi Minh City"
135,RedDoorz Plus near Hoang Van Thu Park 1,370.094,5.5,32.0,"Tan Binh, Ho Chi Minh City"
136,Cozrum Homes - Saphera Residence,507.399,8.8,103.0,"District 1, Ho Chi Minh City"
137,Mecozy Apartel,752.4,8.7,357.0,"District 2, Ho Chi Minh City"
138,H79 HOTEL,136.0,7.7,450.0,"Tan Binh, Ho Chi Minh City"
139,Asian Ruby Boutique Hotel Bùi Thị Xuân,500.0,7.9,30.0,"District 1, Ho Chi Minh City"
140,Wink Hotel Saigon Centre,1219.476,8.9,181.0,"District 1, Ho Chi Minh City"
141,Sense Legend Hotel & Spa,153.9,7.5,960.0,"District 1, Ho Chi Minh City"
142,Hoàng Ngân Hotel and Suites - City Centre,524.0,9.1,409.0,"District 1, Ho Chi Minh City"
143,Bin Bin Hotel 6 - Near SECC D7,450.0,8.2,50.0,"District 7, Ho Chi Minh City"
144,RedDoorz near Vincom Go Vap 2,259.74,7.4,44.0,"Go Vap District , Ho Chi Minh City"
145,Royal Dragon Boutique Hotel,804.311,8.1,109.0,"Tan Binh, Ho Chi Minh City"
146,Urban Lodge Hotel,712.5,8.7,68.0,"District 1, Ho Chi Minh City"
147,Central Apartments - Free Pool&Gym - RiverGate Residence Building,800.0,9.1,127.0,"District 4, Ho Chi Minh City"
148,Sunshine Garden,495.0,8.5,13.0,"District 7, Ho Chi Minh City"
149,Boutique Hotel By Diamond Suites,520.874,8.1,74.0,"District 7, Ho Chi Minh City"
150,SaiGon Rose Hotel,309.744,8.1,78.0,"Go Vap District , Ho Chi Minh City"
151,EROS Hotel,611.8,8.0,147.0,"Phu Nhuan, Ho Chi Minh City"
152,Ruby Saigon Hotel and Suites - Ben Thanh,308.0,8.0,614.0,"District 1, Ho Chi Minh City"
153,Park Hill Hotel - Phu My Hung,575.0,8.4,155.0,"District 7, Ho Chi Minh City"
154,Bluesky Serviced Apartment Airport Plaza,1088.909,8.5,142.0,"Tan Binh, Ho Chi Minh City"
155,Luxy Park Hotel & Apartments - Notre Dame,782.694,8.7,391.0,"District 1, Ho Chi Minh City"
156,Hue My Hotel,501.591,8.1,192.0,"District 10, Ho Chi Minh City"
157,"Holiday Inn & Suites Saigon Airport, an IHG Hotel",2209.0,8.8,59.0,"Tan Binh, Ho Chi Minh City"
158,Thanh Long Hotel - Tra Khuc,880.0,8.9,521.0,"Tan Binh, Ho Chi Minh City"
159,Metro Hotel - Ben Thanh Market,469.625,7.0,213.0,"District 1, Ho Chi Minh City"
160,Roseland Centa Hotel & Spa,1059.038,8.0,176.0,"District 1, Ho Chi Minh City"
161,Saigon Royal Arrivals-10 stars service apartment-Luxurious place-best place,3404.7,9.2,65.0,"District 4, Ho Chi Minh City"
162,Erato Boutique Hotel,443.045,7.8,301.0,"Tan Binh, Ho Chi Minh City"
