,Name,Price,Rating,Reviews,Location
122,Green Cocoon,"585,000",8.3,276,"Binh Thanh, Ho Chi Minh City"
123,Little Brick Saigon Hotel,"452,570",8.1,124,"District 1, Ho Chi Minh City"
124,Eastin Grand Hotel Saigon,"1,398,831",8.6,265,"Phu Nhuan, Ho Chi Minh City"
125,Windsor Plaza Hotel,"2,069,732",8.5,142,"District 5, Ho Chi Minh City"
126,Galaxy Hotel,"659,250",8.6,27,"District 7, Ho Chi Minh City"
127,A in Hotel Glamour,"490,050",7.9,495,"District 2, Ho Chi Minh City"
128,BLESSED Hotel,"820,800",8.7,40,"District 7, Ho Chi Minh City"
129,Venus Hotel,"330,000",7.9,275,"Go Vap District , Ho Chi Minh City"
130,Sky Villa,"3,245,000",9.3,19,"District 4, Ho Chi Minh City"
131,Shinhua Hotel,"570,000",8.6,118,"District 7, Ho Chi Minh City"
132,Bong Sen Hotel Saigon,"852,402",7.7,106,"District 1, Ho Chi Minh City"
133,Queen Ann Hotel,"728,000",8.8,140,"District 1, Ho Chi Minh City"
134,La Memoria Hotel - City Centre,"601,026",9.0,315,"District 1, Ho Chi Minh City"
135,RedDoorz Plus near Hoang Van Thu Park 1,"370,094",5.5,32,"Tan Binh, Ho Chi Minh City"
136,Cozrum Homes - Saphera Residence,"507,399",8.8,103,"District 1, Ho Chi Minh City"
137,Mecozy Apartel,"752,400",8.7,357,"District 2, Ho Chi Minh City"
138,H79 HOTEL,"136,000",7.7,450,"Tan Binh, Ho Chi Minh City"
139,Asian Ruby Boutique Hotel Bùi Thị Xuân,"500,000",7.9,30,"District 1, Ho Chi Minh City"
140,Wink Hotel Saigon Centre,"1,219,476",8.9,181,"District 1, Ho Chi Minh City"
141,Sense Legend Hotel & Spa,"153,900",7.5,960,"District 1, Ho Chi Minh City"
142,Hoàng Ngân Hotel and Suites - City Centre,"524,000",9.1,409,"District 1, Ho Chi Minh City"
143,Bin Bin Hotel 6 - Near SECC D7,"450,000",8.2,50,"District 7, Ho Chi Minh City"
144,RedDoorz near Vincom Go Vap 2,"259,740",7.4,44,"Go Vap District , Ho Chi Minh City"
145,Royal Dragon Boutique Hotel,"804,311",8.1,109,"Tan Binh, Ho Chi Minh City"
146,Urban Lodge Hotel,"712,500",8.7,68,"District 1, Ho Chi Minh City"
147,Central Apartments - Free Pool&Gym - RiverGate Residence Building,"800,000",9.1,127,"District 4, Ho Chi Minh City"
148,Sunshine Garden,"495,000",8.5,13,"District 7, Ho Chi Minh City"
149,Boutique Hotel By Diamond Suites,"520,874",8.1,74,"District 7, Ho Chi Minh City"
150,SaiGon Rose Hotel,"309,744",8.1,78,"Go Vap District , Ho Chi Minh City"
151,EROS Hotel,"611,800",8.0,147,"Phu Nhuan, Ho Chi Minh City"
152,Ruby Saigon Hotel and Suites - Ben Thanh,"308,000",8.0,614,"District 1, Ho Chi Minh City"
153,Park Hill Hotel - Phu My Hung,"575,000",8.4,155,"District 7, Ho Chi Minh City"
154,Bluesky Serviced Apartment Airport Plaza,"1,088,909",8.5,142,"Tan Binh, Ho Chi Minh City"
155,Luxy Park Hotel & Apartments - Notre Dame,"782,694",8.7,391,"District 1, Ho Chi Minh City"
156,Hue My Hotel,"501,591",8.1,192,"District 10, Ho Chi Minh City"
157,"Holiday Inn & Suites Saigon Airport, an IHG Hotel","2,209,000",8.8,59,"Tan Binh, Ho Chi Minh City"
158,Thanh Long Hotel - Tra Khuc,"880,000",8.9,521,"Tan Binh, Ho Chi Minh City"
159,Metro Hotel - Ben Thanh Market,"469,625",7.0,213,"District 1, Ho Chi Minh City"
160,Roseland Centa Hotel & Spa,"1,059,038",8.0,176,"District 1, Ho Chi Minh City"
161,Saigon Royal Arrivals-10 stars service apartment-Luxurious place-best place,"3,404,700",9.2,65,"District 4, Ho Chi Minh City"
162,Erato Boutique Hotel,"443,045",7.8,301,"Tan Binh, Ho Chi Minh City"
163,Huy Hoang 1 Hotel,"370,000",7.8,33,"Tan Binh, Ho Chi Minh City"
164,Dong Khanh Hotel,"807,331",7.4,70,"District 5, Ho Chi Minh City"
165,RedDoorz near Tan Huong Market 2,"217,980",7.3,116,"Tan Phu District, Ho Chi Minh City"
166,Cactusland Apartment,"630,000",8.7,375,"Phu Nhuan, Ho Chi Minh City"
167,Sao Nam Hotel - Bui Vien Walking Street,"480,000",7.8,129,"District 1, Ho Chi Minh City"
168,M&H Hotel,"600,000",8.1,220,"District 1, Ho Chi Minh City"
169,Northern Charm Hotel,"1,489,500",8.0,46,"District 1, Ho Chi Minh City"
170,Vinhomes Luxury Apartment,"1,170,000",7.8,39,"Binh Thanh, Ho Chi Minh City"
171,RedDoorz Plus near Phan Xich Long,"419,812",7.0,46,"Phu Nhuan, Ho Chi Minh City"
172,La Galerie Hotel,"490,959",8.3,156,Ho Chi Minh City
173,Rang Dong Hotel,"595,000",8.3,151,"District 1, Ho Chi Minh City"
