name,price,Odometer,Ground Clearance,,Electric Start,Type Approval,Fuel System,Throttle,Compression Ratio,Bed Capacity,Gears,"Seat Height, Laden",Protection Plan,Swingarm,"Weight, Maximum Capacity","Lean Angle, Right (deg.)",Turning Radius,Gear Ratios (overall) 6th,"Tires, Rear Specification",Induction,"Wheel Type, Optional Style",Vehicle Type,VIN,Gear Ratios (overall) 3rd,Shock Absorber,Rear braking system,Gear Ratios (overall) 2nd,Emissions,Front Suspension,Weight,Electrical,Dry Weight,Castor,"Reduction Ratio, Primary",Starter,Brake System Type,Seat Type,Trail,Oil Capacity (w/filter),Gearbox,Length,Height,Chassis,Overall Width,Gauges,"Rack capacity, front",Valve train,"Brake Disc Diameter, Rear",Year,Bed Box Dimensions (LxWxH),Drive/Driven Clutch,Carburetion,Acceleration,Rake/trail,Description,Motor Type,Front Wheel,"Gross Axle Weight Rating, Rear",Security Option,"Weight, In Running Order",Instrumentation,Fuel Injection,Rear Tires / Model,Fuel Economy: Combined City/Hwy,Drivetrain,Oil Filter,"Fuel Usage, 100% Load",Rear Wheel,Cylinders-Displacement (cc),Fuel Type,Spark Plug,Gear Ratios (overall) 5th,Engine Type,Warranty,"Maximum Torque, PTO",Oil capacity,Gear Ratios (overall) 4th,"Gross Axle Weight Rating, Front","Rack capacity, rear","Wheel Type, Front",Tail Light,Maximum Thrust,Stroke,Engine Torque,Engine Management,"Weight, As Shipped","Axle Capacity, Rear",Alternator,Stock Number,Fuel Capacity,Parking Brake,Cylinder Liners,Front Travel (in./cm.),Primary Drive,Fork,Rake (steering head) (deg),Transmission,"Range, City",Wheel Option,Steering,Turn Signal,California Emissions,Lighting,Air Cleaner,Final Drive,"Engine Torque, Maximum","Features, Optional",Raking Angle Degrees,Fuel Reserve,Motor Torque,Vivid Black,"Brake Disc Diameter, Front",Colors,Make,Front Wheel Travel,Rear Tire,Freight,Displacement,Curb Weight,Condition,Overall Height,Overall Vehicle Size (LxWxH),Note,Engine Power,Width,Family,"Reduction Ratio, Secondary",Model,Motor Power,Overall Width (in./cm.),Front Tire,"Steering Angle, Right",Overall Height (in./cm.),Gear Ratios (overall) 1st,Ignition,Engine,Transmission Fluid Volume,Lubrication,"Lean Angle, Left (deg.)",Duration,Rotor Diameter,Front Fork,Motor Controller,"Tires, Front Specification",Overall Length,Category,Rear Suspension,Chain Type,Unloaded Weight,Rear Shocks,Dimensions,Exhaust,Engine Torque (rpm),Engine Torque Testing Method,Operating Conditions,Oil Type,Front braking system,Luggage Capacity -Volume,Gear Shifter,Wheels,Maximum Power At Shaft,Cooling,Top Speed,Features,Two-Tone Option,Cooling System,Model Id,Wheelbase,Headlight Type,Payload Capacity,Rear Travel (in./cm.),Color,GVWR,Suspension,Luggage Capacity -Weight,Battery,"Tire Pressure, Rear",Clutch,"Rack capacity, total",Overall Length (in./cm.),"Steering Angle, Left","Tire Pressure, Front",Charging System,Bore,"Seat Height, Unladen",Cargo Capacity,Custom Color Option,Seat Height,Frame Type,Seating Capacity,Rear Wheel Travel,Front Tires / Model,Color Option,"Wheels Type, Rear","Brakes, Caliper Type",ABS Option,Drive System,Power System Type,Transmission/Final Drive,Engine Mount,Towing Capacity,Cruise Control Option,Color/Graphics
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013 Harley-Davidson® FLTRX - Road Glide® Custom,"$39,995 ",1569,5.1 in.,,,,Electronic Sequential Port Fuel Injection (ESPFI),,9.6:1,,,26.1 in.,,,,32,,2.875,BW 180/65B16 81H,,Tubeless Chrome Aluminum Profile Laced,Motorcycle / Scooter,1HD1KHM17DB622460,4.938,,,6.65,,,,,,,,,,,6.7 in.,4 qt.,,95 in.,,,,"Fairing-mounted electronic speedometer with odometer; time-of-day clock on CD player/stereo; dual trip meter; low fuel indicator light and mileage countdown feature; low oil pressure indicator light; engine diagnostics readout; LED indicator lights; 6-speed indicator light Tachometer with fuel, voltage, oil pressure and ambient air temperature gauges",,,,2013,,,,,,,,,,,838 lb.,,,,42 mpg,,,,,,,,3.407,,,,,4,,,"Black, Slotted 5-Spoke Cast Aluminum",,,4.38 in.,100 ft-lb,,809 lb.,,,CON622460IL,6 gal.,,,,"Chain, 34/46 ratio",,26,,,,,,,"High beam, running lights, directional light bar, neutral, low oil pressure, engine diagnostics, turn signals, security system (optional), 6-speed, low fuel warning, cruise control, ABS (optional)",,,,,,,,,,,Harley-Davidson®,,,,103 cu in,,Pre-owned,,,,,,Touring,,FLTRX - Road Glide® Custom,,,,,,9.593,,Air-cooled Twin Cam 103™ with Integrated Oil-Cooler,,,29,,,,,BW 130/70B18 63H,,Touring,,,,,,"Chrome, 2-1-2 dual exhaust with tapered mufflers","3,250",J1349,,,,2.26 cu ft,,,,,,,,,,63.5 in.,,,,,,,,,,,,,,,,3.875 in.,27.1 in.,,,,,,,,,"Black, Slotted 5-Spoke Cast Aluminum","32 mm, 4-piston fixed front and rear",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013 Harley-Davidson® FXDB - Dyna® Street Bob®,"$13,995 ",5694,4.92 in.,,,,Electronic Sequential Port Fuel Injection (ESPFI),,9.2:1,,,25.5 in.,,,,30,,2.79,160/70-17 73V,,,Motorcycle / Scooter,1HD1GX419DC315958,4.793,,,6.454,,,,,,,,,,,4.7 in.,3 qt.,,92.8 in.,,,,"Tank-mounted electronic speedometer with odometer, time-of-day clock on odometer, dual tripmeter, RPM/Gear display, fuel gauge with low fuel warning light and countdown feature, low oil pressure indicator light, engine diagnostics readout, LED indicator lights, 6-speed indicator light",,,,2013,,,,,,,,,,,672 lb.,,,,43 mpg,,,,,,,,3.307,,,,,3.882,,,"Black, Laced Steel",,,4.38 in.,92 ft-lb,,639 lb.,,,U315958WS,4.7 gal.,,,,"Chain, 34/46 ratio",,29,,,,,,,"High beam, directional light bar, neutral, low oil pressure, engine diagnostics, turn signals, security system(optional), 6-speed, low fuel warnings",,,,,,,,,,,Harley-Davidson®,,,,96 cu in,,Pre-owned,,,,,,Dyna®,,FXDB - Dyna® Street Bob®,,,,,,9.311,,"Air-cooled, Twin Cam 96™",,,31,,,,,100/90-19 57H,,Cruiser,,,,,,"Chrome, staggered, straight-cut shorty exhaust with dual mufflers","3,000",J1349,,,,,,,,,,,,,,64.2 in.,,,,,,,,,,,,,,,,3.75 in.,26.7 in.,,,,,,,,,"Black, Laced Steel","4-piston fixed front, and 2-piston torque-free floating rear",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013 Harley-Davidson® FXDB - Dyna® Street Bob®,"$13,995 ",7694,4.92 in.,,,,Electronic Sequential Port Fuel Injection (ESPFI),,9.2:1,,,25.5 in.,,,,30,,2.79,160/70-17 73V,,,Motorcycle / Scooter,1HD1VAM10DC322848,4.793,,,6.454,,,,,,,,,,,4.7 in.,3 qt.,,92.8 in.,,,,"Tank-mounted electronic speedometer with odometer, time-of-day clock on odometer, dual tripmeter, RPM/Gear display, fuel gauge with low fuel warning light and countdown feature, low oil pressure indicator light, engine diagnostics readout, LED indicator lights, 6-speed indicator light",,,,2013,,,,,,,,,,,672 lb.,,,,43 mpg,,,,,,,,3.307,,,,,3.882,,,"Black, Laced Steel",,,4.38 in.,92 ft-lb,,639 lb.,,,U322848-MKE,4.7 gal.,,,,"Chain, 34/46 ratio",,29,,,,,,,"High beam, directional light bar, neutral, low oil pressure, engine diagnostics, turn signals, security system(optional), 6-speed, low fuel warnings",,,,,,,,,,,Harley-Davidson®,,,,96 cu in,,Pre-owned,,,,,,Dyna®,,FXDB - Dyna® Street Bob®,,,,,,9.311,,"Air-cooled, Twin Cam 96™",,,31,,,,,100/90-19 57H,,Cruiser,,,,,,"Chrome, staggered, straight-cut shorty exhaust with dual mufflers","3,000",J1349,,,,,,,,,,,,,,64.2 in.,,,,,,,,,,,,,,,,3.75 in.,26.7 in.,,,,,,,,,"Black, Laced Steel","4-piston fixed front, and 2-piston torque-free floating rear",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013 Harley-Davidson® FXDB - Dyna® Street Bob®,"$13,495 ",11258,4.92 in.,,,,Electronic Sequential Port Fuel Injection (ESPFI),,9.2:1,,,25.5 in.,,,,30,,2.79,160/70-17 73V,,,Motorcycle / Scooter,1HD1GX413DC306558,4.793,,,6.454,,,,,,,,,,,4.7 in.,3 qt.,,92.8 in.,,,,"Tank-mounted electronic speedometer with odometer, time-of-day clock on odometer, dual tripmeter, RPM/Gear display, fuel gauge with low fuel warning light and countdown feature, low oil pressure indicator light, engine diagnostics readout, LED indicator lights, 6-speed indicator light",,,,2013,,,,,,,,,,,672 lb.,,,,43 mpg,,,,,,,,3.307,,,,,3.882,,,"Black, Laced Steel",,,4.38 in.,92 ft-lb,,639 lb.,,,U306558IL,4.7 gal.,,,,"Chain, 34/46 ratio",,29,,,,,,,"High beam, directional light bar, neutral, low oil pressure, engine diagnostics, turn signals, security system(optional), 6-speed, low fuel warnings",,,,,,,,,,,Harley-Davidson®,,,,96 cu in,,Pre-owned,,,,,,Dyna®,,FXDB - Dyna® Street Bob®,,,,,,9.311,,"Air-cooled, Twin Cam 96™",,,31,,,,,100/90-19 57H,,Cruiser,,,,,,"Chrome, staggered, straight-cut shorty exhaust with dual mufflers","3,000",J1349,,,,,,,,,,,,,,64.2 in.,,,,,,,,,,,,,,,,3.75 in.,26.7 in.,,,,,,,,,"Black, Laced Steel","4-piston fixed front, and 2-piston torque-free floating rear",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013 Harley-Davidson® FXDB - Dyna® Street Bob®,"$12,995 ",10122,4.92 in.,,,,Electronic Sequential Port Fuel Injection (ESPFI),,9.2:1,,,25.5 in.,,,,30,,2.79,160/70-17 73V,,,Motorcycle / Scooter,1HD1GX419DC334686,4.793,,,6.454,,,,,,,,,,,4.7 in.,3 qt.,,92.8 in.,,,,"Tank-mounted electronic speedometer with odometer, time-of-day clock on odometer, dual tripmeter, RPM/Gear display, fuel gauge with low fuel warning light and countdown feature, low oil pressure indicator light, engine diagnostics readout, LED indicator lights, 6-speed indicator light",,,,2013,,,,,,,,,,,672 lb.,,,,43 mpg,,,,,,,,3.307,,,,,3.882,,,"Black, Laced Steel",,,4.38 in.,92 ft-lb,,639 lb.,,,U334686WF,4.7 gal.,,,,"Chain, 34/46 ratio",,29,,,,,,,"High beam, directional light bar, neutral, low oil pressure, engine diagnostics, turn signals, security system(optional), 6-speed, low fuel warnings",,,,,,,,,,,Harley-Davidson®,,,,96 cu in,,Pre-owned,,,,,,Dyna®,,FXDB - Dyna® Street Bob®,,,,,,9.311,,"Air-cooled, Twin Cam 96™",,,31,,,,,100/90-19 57H,,Cruiser,,,,,,"Chrome, staggered, straight-cut shorty exhaust with dual mufflers","3,000",J1349,,,,,,,,,,,,,,64.2 in.,,,,,,,,,,,,,,,,3.75 in.,26.7 in.,,,,,,,,,"Black, Laced Steel","4-piston fixed front, and 2-piston torque-free floating rear",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013 Harley-Davidson® FXDC - Dyna® Super Glide® Custom,"$13,995 ",,4.7 in.,,,,Electronic Sequential Port Fuel Injection (ESPFI),,9.2:1,,,26.3 in.,,,,29.5,,2.79,160/70-17 73V,,"Chrome, Aluminum Profile Laced, front and rear",,,4.793,,,6.454,,,,,,,,,,,4.7 in.,3 qt.,,92.3 in.,,,,"Tank-mounted electronic speedometer with odometer, time-of-day clock on odometer, dual tripmeter, RPM/Gear display, fuel gauge with low fuel warning light and countdown feature, low oil pressure indicator light, engine diagnostics readout, LED indicator lights, 6-speed indicator light",,,,,,,,,,,,,,,683 lb.,,,,43 mpg,,,,,,,,3.307,,,,,3.882,,,Steel Laced,,,4.38 in.,92 ft-lb,,650 lb.,,,,5 gal.,,,,"Chain, 34/46 ratio",,29,,,,,,,"High beam, directional light bar, neutral, low oil pressure, engine diagnostics, turn signals, security system(optional), 6-speed, low fuel warnings",,,,,,,,,,,,,,,96 cu in,,,,,,,,,,,,,,,,9.311,,"Air-cooled, Twin Cam 96™",,,30.9,,,,,100/90-19 57H,,,,,,,,"Chrome, staggered shorty exhaust with dual mufflers","3,000",J1349,,,,,,,,,,,,,,64 in.,,,,,,,,,,,,,,,,3.75 in.,27.9 in.,,,,,,,,,Steel Laced,"4-piston fixed front , and 2-piston torque-free floating rear",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013 Harley-Davidson® FXDC - Dyna® Super Glide® Custom,"$13,495 ",8629,4.7 in.,,,,Electronic Sequential Port Fuel Injection (ESPFI),,9.2:1,,,26.3 in.,,,,29.5,,2.79,160/70-17 73V,,"Chrome, Aluminum Profile Laced, front and rear",Motorcycle / Scooter,1HD1GV42XDC309843,4.793,,,6.454,,,,,,,,,,,4.7 in.,3 qt.,,92.3 in.,,,,"Tank-mounted electronic speedometer with odometer, time-of-day clock on odometer, dual tripmeter, RPM/Gear display, fuel gauge with low fuel warning light and countdown feature, low oil pressure indicator light, engine diagnostics readout, LED indicator lights, 6-speed indicator light",,,,2013,,,,,,,,,,,683 lb.,,,,43 mpg,,,,,,,,3.307,,,,,3.882,,,Steel Laced,,,4.38 in.,92 ft-lb,,650 lb.,,,U309843WS,5 gal.,,,,"Chain, 34/46 ratio",,29,,,,,,,"High beam, directional light bar, neutral, low oil pressure, engine diagnostics, turn signals, security system(optional), 6-speed, low fuel warnings",,,,,,,,,,,Harley-Davidson®,,,,96 cu in,,Pre-owned,,,,,,Dyna®,,FXDC - Dyna® Super Glide® Custom,,,,,,9.311,,"Air-cooled, Twin Cam 96™",,,30.9,,,,,100/90-19 57H,,Cruiser,,,,,,"Chrome, staggered shorty exhaust with dual mufflers","3,000",J1349,,,,,,,,,,,,,,64 in.,,,,,,,,,,,,,,,,3.75 in.,27.9 in.,,,,,,,,,Steel Laced,"4-piston fixed front , and 2-piston torque-free floating rear",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013 Harley-Davidson® FXDC - Dyna® Super Glide® Custom,"$12,499 ",6526,4.7 in.,,,,Electronic Sequential Port Fuel Injection (ESPFI),,9.2:1,,,26.3 in.,,,,29.5,,2.79,160/70-17 73V,,"Chrome, Aluminum Profile Laced, front and rear",Motorcycle / Scooter,1HD1GV419DC304575,4.793,,,6.454,,,,,,,,,,,4.7 in.,3 qt.,,92.3 in.,,,,"Tank-mounted electronic speedometer with odometer, time-of-day clock on odometer, dual tripmeter, RPM/Gear display, fuel gauge with low fuel warning light and countdown feature, low oil pressure indicator light, engine diagnostics readout, LED indicator lights, 6-speed indicator light",,,,2013,,,,,,,,,,,683 lb.,,,,43 mpg,,,,,,,,3.307,,,,,3.882,,,Steel Laced,,,4.38 in.,92 ft-lb,,650 lb.,,,U304575FR,5 gal.,,,,"Chain, 34/46 ratio",,29,,,,,,,"High beam, directional light bar, neutral, low oil pressure, engine diagnostics, turn signals, security system(optional), 6-speed, low fuel warnings",,,,,,,,,,,Harley-Davidson®,,,,96 cu in,,Pre-owned,,,,,,Dyna®,,FXDC - Dyna® Super Glide® Custom,,,,,,9.311,,"Air-cooled, Twin Cam 96™",,,30.9,,,,,100/90-19 57H,,Cruiser,,,,,,"Chrome, staggered shorty exhaust with dual mufflers","3,000",J1349,,,,,,,,,,,,,,64 in.,,,,,,,,,,,,,,,,3.75 in.,27.9 in.,,,,,,,,,Steel Laced,"4-piston fixed front , and 2-piston torque-free floating rear",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013 Harley-Davidson® FXDF - Dyna® Fat Bob®,"$12,994 ",8380,4.9 in.,,,,Electronic Sequential Port Fuel Injection (ESPFI),,9.6:1,,,26.1 in.,,,,30,,2.79,180/70B16 77H,,,Motorcycle / Scooter,1HD1GYM16DC315390,4.793,,,6.454,,,,,,,,,,,4.9 in.,3 qt.,,91.7 in.,,,,"Tank-mounted electronic speedometer with odometer, time-of-day clock on odometer, dual tripmeter, RPM/Gear display, fuel gauge with low fuel warning light and countdown feature, low oil pressure indicator light, engine diagnostics readout, LED indicator lights, 6-speed indicator light",,,,2013,,,,,,,,,,,706 lb.,,,,42 mpg,,,,,,,,3.307,,,,,3.882,,,"Machined, Aluminum Slotted Disc",,,4.38 in.,100 ft-lb,,673 lb.,,,U315390WB,5 gal.,,,,"Chain, 34/46 ratio",,29,,,,,,,"High beam, directional light bar, neutral, low oil pressure, engine diagnostics, turn signals, security system(optional), 6-speed, low fuel warnings",,,,,,,,,,,Harley-Davidson®,,,,103 cu in,,Pre-owned,,,,,,Dyna®,,FXDF - Dyna® Fat Bob®,,,,,,9.311,,"Air-cooled, Twin Cam 103™",,,31,,,,,130/90B16 67H,,Cruiser,,,,,,"Chrome, ""Tommy Gun"" 2-1-2 collector exhaust with dual mufflers","3,500",J1349,,,,,,,,,,,,,,63.8 in.,,,,,,,,,,,,,,,,3.875 in.,27.2 in,,,,,,,,,"Machined, Aluminum Slotted Disc","4-piston fixed front, and 2-piston torque-free floating rear",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013 Harley-Davidson® FXDF - Dyna® Fat Bob®,"$12,995 ",,4.9 in.,,,,Electronic Sequential Port Fuel Injection (ESPFI),,9.6:1,,,26.1 in.,,,,30,,2.79,180/70B16 77H,,,,,4.793,,,6.454,,,,,,,,,,,4.9 in.,3 qt.,,91.7 in.,,,,"Tank-mounted electronic speedometer with odometer, time-of-day clock on odometer, dual tripmeter, RPM/Gear display, fuel gauge with low fuel warning light and countdown feature, low oil pressure indicator light, engine diagnostics readout, LED indicator lights, 6-speed indicator light",,,,,,,,,,,,,,,706 lb.,,,,42 mpg,,,,,,,,3.307,,,,,3.882,,,"Machined, Aluminum Slotted Disc",,,4.38 in.,100 ft-lb,,673 lb.,,,,5 gal.,,,,"Chain, 34/46 ratio",,29,,,,,,,"High beam, directional light bar, neutral, low oil pressure, engine diagnostics, turn signals, security system(optional), 6-speed, low fuel warnings",,,,,,,,,,,,,,,103 cu in,,,,,,,,,,,,,,,,9.311,,"Air-cooled, Twin Cam 103™",,,31,,,,,130/90B16 67H,,,,,,,,"Chrome, ""Tommy Gun"" 2-1-2 collector exhaust with dual mufflers","3,500",J1349,,,,,,,,,,,,,,63.8 in.,,,,,,,,,,,,,,,,3.875 in.,27.2 in,,,,,,,,,"Machined, Aluminum Slotted Disc","4-piston fixed front, and 2-piston torque-free floating rear",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013 Harley-Davidson® FXDWG - Dyna® Wide Glide®,"$12,395 ",4000,4 in.,,,,Electronic Sequential Port Fuel Injection (ESPFI),,9.6:1,,,25.5 in.,,,,28.4,,2.79,180/60B17 75V,,,Motorcycle / Scooter,1HD1GPM10DC334012,4.793,,,6.454,,,,,,,,,,,5.2 in.,3 qt.,,96.3 in.,,,,"Tank-mounted electronic speedometer with odometer, time-of-day clock on odometer, dual tripmeter, RPM/Gear display, fuel gauge with low fuel warning light and countdown feature, low oil pressure indicator light, engine diagnostics readout, LED indicator lights, 6-speed indicator light",,,,2013,,,,,,,,,,,683 lb.,,,,42 mpg,,,,,,,,3.307,,,,,3.882,,,"Black, Laced Steel",,,4.38 in.,99 ft-lb,,650 lb.,,,U334012IL,4.7 gal.,,,,"Chain, 34/46 ratio",,34,,,,,,,"High beam, directional light bar, neutral, low oil pressure, engine diagnostics, turn signals, security system(optional), 6-speed, low fuel warnings",,,,,,,,,,,Harley-Davidson®,,,,103 cu in,,Pre-owned,,,,,,Dyna®,,FXDWG - Dyna® Wide Glide®,,,,,,9.311,,"Air-cooled, Twin Cam 103™",,,31.9,,,,,80/90-21 54H,,Cruiser,,,,,,"Chrome, ""Tommy Gun"" 2-1-2 collector exhaust with dual mufflers","3,000",J1349,,,,,,,,,,,,,,67.5 in.,,,,,,,,,,,,,,,,3.875 in.,26.8 in.,,,,,,,,,"Black, Laced Steel",4-piston front and 2-piston torque-free floating rear,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013 Harley-Davidson® FXSB - Softail® Breakout®,"$16,499 ",10279,4.7 in.,,,,Electronic Sequential Port Fuel Injection (ESPFI),,9.6:1,,,24.7 in.,,,,23.4,,2.79,240/40R18 79V,,,Motorcycle / Scooter,1HD1BFV24DB046709,4.793,,,6.454,,,,,,,,,,,5.7 in.,3.5 qt.,,96.3 in.,,,,"Clean, low center tank console",,,,2013,,,,,,,,,,,710 lb.,,,,42 mpg,,,,,,,,3.307,,,,,4th3.882Gear,,,Gasser Cast Aluminum,,,4.38 in.,95.5 ft-lb,,680 lb.,,,U046709FR,5 gal.,,,,"Chain, 34/46 ratio",,35,,,,,,,"High beam, neutral, low oil pressure, turn signals, engine diagnostics, security system (optional), 6-speed, low fuel warnings",,,,,,,,,,,Harley-Davidson®,,,,103 cu in,,Pre-owned,,,,,,Softail®,,FXSB - Softail® Breakout®,,,,,,9.311,,"Air-cooled, Twin Cam 103B™",,,23.4,,,,,130/60B21 63H,,Cruiser,,,,,,"Staggered, straight-cut chrome mufflers with gloss black exhaust shields","3,000",J1349,,,,,,,,,,,,,,67.3 in.,,,,,,,,,,,,,,,,3.875 in.,26 in.,,,,,,,,,Gasser Cast Aluminum,4-piston fixed front; 2-piston floating rear,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013 Harley-Davidson® VRSCDX - V-Rod® Night Rod® Special,"$12,995 ",1211,4.8 in.,,,,Electronic Sequential Port Fuel Injection (ESPFI),,11.5:1,,,25.6 in.,,,,32,,,240/40R-18 79V,,,Motorcycle / Scooter,1HD1HHH12DC807051,6.322,,,7.897,,,,,,,,,,,5.6 in.,5 qt.,,93.1 in.,,,,"Electronic speedometer with odometer, time-of-day clock on odometer, dual tripmeter, fuel gauge with low fuel warning light and countdown feature, low oil pressure indicator light, engine diagnostics readout, LED indicator lights, tachometer",,,,2013,,,,,,,,,,,666 lb.,,,,37 mpg,,,,,,,,4.899,,,,,5.459,,,"Black, Split 5-Spoke Cast Aluminum w/ Orange Pinstripe",,,2.835 in.,83.3 ft-lb,,637 lb.,,,U807051,5 gal.,,,,"Gear, 117/64 ratio",,34,,,,,,,"High beam, neutral, low oil pressure, turn signals, engine diagnostics, security system (optional), coolant temperature, low fuel warnings",,,,,,,,,,,Harley-Davidson®,,,,76.28 cu in,,Pre-owned,,,,,,V-Rod®,,VRSCDX - V-Rod® Night Rod® Special,,,,,,11.752,,"Liquid-cooled, Revolution®, 60° V-Twin",,,32,,,,,120/70ZR-19 60W,,Sport,,,,,,Straight-shot exhaust with brushed finish dual mufflers; black end caps and exhaust shield,"6,750",J1349,,,,,,,,,,,,,,67 in.,,,,,,,,,,,,,,,,4.134 in.,26.7 in.,,,,,,,,,"Black, Split 5-Spoke Cast Aluminum w/ Orange Pinstripe",4-piston front and rear,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
