Empty weight,Last timing belt change,General inspection,Offer number,Warranty,Body type,Paint,Gearbox,Cylinders,Fuel type,Gears,Type,Mileage,Full service history,Manufacturer colour,Seats,Last service,Production date,name,Comfort & Convenience,Model code,Emission class,Extras,Power,First registration,Engine size,Safety & Security,Colour,Previous owner,Country version,"Fuel consumption
2",Entertainment & Media,"CO₂-emissions
2",price
,,Jun-23,L64597,,Naked Bike,,Manual,,Gasoline,,Used,"13,768 km",,ORANGE,,,,KTM1290 Super Duke R,Electric Starter,,,Catalytic Converter,127 kW (173 hp),2015-05-01,"1,301 cc",ABS,,,,,,,"€ 12,689.-"
,,Jul-23,L51503,,Scooter,,Automatic,,Gasoline,,Used,"9,437 km",,WEISS,,,,PiaggioMP3 500,"Electric Starter
Windshield",,,Catalytic Converter,30 kW (41 hp),2015-08-01,493 cc,ABS,,,,,,,"€ 6,979.-"
,,Apr-24,L63950,,Sport touring,,Manual,,Gasoline,,Used,"24,911 km",,BLAU,,,,YamahaFZS 1000,"Electric Starter
Windshield",,,,105 kW (143 hp),2001-03-01,998 cc,,Blue,,,,,,"€ 4,289.-"
,,Sep-22,L65968,,Scooter,,Automatic,,Gasoline,,Used,"23,671 km",,BLAU,,,,Others,Electric Starter,,,,9 kW (12 hp),2002-04-01,124 cc,,Blue,,,,,,€ 450.-
,,Jun-24,L65034,,Tourer,,Manual,,Gasoline,,Used,"32,101 km",,GRAU,,,,HondaCBF 600,"Electric Starter
Windshield",,,Catalytic Converter,57 kW (77 hp),2008-04-01,599 cc,ABS,Grey,,,,,,"€ 3,689.-"
,,Jun-24,L55136,,Scooter,,Automatic,,Gasoline,,Used,"2,443 km",,WEISS,,,,YamahaNMAX,"Electric Starter
Windshield",,,Catalytic Converter,9 kW (12 hp),2020-05-01,125 cc,ABS,,,,,,,"€ 3,989.-1"
,,Jun-24,L38553,,Naked Bike,,Manual,,Gasoline,,Used,"17,784 km",,ROT,,,,DucatiMonster 1200,Electric Starter,,,Catalytic Converter,101 kW (137 hp),2013-12-01,"1,198 cc",ABS,Red,,,,,,"€ 11,989.-"
,,May-24,L65479,,Chopper/Cruiser,,Manual,,Gasoline,,Used,"11,906 km",,GRAU,,,,Harley-DavidsonSoftail Slim,Electric Starter,,,Catalytic Converter,68 kW (92 hp),2016-11-01,"1,801 cc",ABS,Grey,,,,,,"€ 24,989.-"
,,Jun-24,L42068,,Scooter,,Automatic,,Gasoline,,Used,"3,493 km",,PEARL SPLENDOR RED,,,,HondaSH 300,"Electric Starter
Windshield",,,Catalytic Converter,19 kW (26 hp),2017-03-01,279 cc,ABS,,,,,,,"€ 4,489.-"
,,Sep-23,L65411,,Enduro Bike,,Automatic,,Gasoline,,Used,"22,618 km",,SCHWARZ WEIß,,,,HondaVFR 1200,"Crash bar
Electric Starter
Topcase
Windshield",,,Catalytic Converter,95 kW (129 hp),2015-08-01,"1,237 cc",ABS,,,,,,,"€ 11,489.-"
,,Jun-23,L65768,,Naked Bike,,Manual,,Gasoline,,Used,"15,415 km",,SCHWARZ,,,,BMWR nineT,Electric Starter,,,Catalytic Converter,81 kW (110 hp),2017-06-01,"1,170 cc",ABS,Black,,,,,,"€ 12,989.-"
,,Jun-24,L58533,,Enduro Bike,,Manual,,Gasoline,,Used,"20,996 km",,GRAU,,,,BMWR 1200 GS LC,"Electric Starter
Topcase
Windshield",,,Catalytic Converter,92 kW (125 hp),2017-03-01,"1,170 cc",ABS,Grey,,,,,,"€ 17,489.-"
,,,L66051,,Enduro Bike,,Manual,,Gasoline,,Used,0 km,,ROT FOLIERT,,,,DucatiMultistrada V4 S,Electric Starter,,,Catalytic Converter,125 kW (170 hp),2022-01-01,"1,158 cc",ABS,,,,,,,"€ 23,535.-1"
,,Jun-24,L48363,,Naked Bike,,Manual,,Gasoline,,Used,"5,806 km",,SCHWARZ,,,,DucatiDiavel,"Electric Starter
Windshield",,,Catalytic Converter,114 kW (155 hp),2015-05-01,"1,198 cc",ABS,Black,,,,,,"€ 14,489.-"
,,,L66053,,Naked Bike,,Manual,,Gasoline,,New,0 km,,OLIVGRÜN,,,,DucatiStreetfighter,Electric Starter,,,Catalytic Converter,153 kW (208 hp),,"1,103 cc",ABS,,,,,,,"€ 29,989.-1"
,,Jun-24,L65650,,Scooter,,Automatic,,Gasoline,,Used,"11,535 km",,SCHWARZ,,,,BMWC 650 GT,"Electric Starter
Windshield",,,Catalytic Converter,44 kW (60 hp),2012-07-01,647 cc,ABS,Black,,,,,,"€ 7,489.-"
,,,2103566,,Enduro Bike,,,,Gasoline,,Used,"10,900 km",,Noir,,,,Kawasaki,,,,,,2020-10-01,"1,043 cc",,Black,,,,,,"€ 14,990.-"
,,,2103565,,Enduro Bike,,,,Gasoline,,Used,"5,200 km",,Noir,,,,Yamaha,,,,,,2020-01-01,689 cc,,Black,,,,,,"€ 7,990.-"
,,,2103564,,Supersport,,,,Gasoline,,Used,"5,400 km",,Vert,,,,Kawasaki,,,,,,2017-07-01,649 cc,,Green,,,,,,"€ 6,990.-"
,,,,,Quad,,Automatic,,Gasoline,,New,1 km,,,,,,CF MotoUForce 800,Electric Starter,,,,48 kW (65 hp),,800 cc,,Silver,,,,,,"€ 19,990.-1"
,,,Z448391,,Supersport,,Manual,,Gasoline,,Used,"25,460 km",Yes,RACINGRED UNI,,,,BMWS 1000 XR,"Electric Starter
Windshield",0005/000,,Catalytic Converter,118 kW (160 hp),2015-10-01,999 cc,ABS,Red,1,,,,,"€ 11,890.-"
,,,2103706,,Naked Bike,,,,Gasoline,,Used,"11,100 km",,Bleu,,,,YamahaMT-07,,,,,,2021-04-01,695 cc,,Blue,,,,,,"€ 7,290.-"
,,,2103629,,Naked Bike,,,,Gasoline,,Used,"4,300 km",,Rouge,,,,Moto GuzziV 7,,,,,,2021-01-01,750 cc,,Red,,,,,,"€ 8,190.-"
,,,2103625,,Enduro Bike,,,,Gasoline,,Used,"63,000 km",,Blanc,,,,KawasakiVersys 1000,,,,,,2013-04-01,"1,000 cc",,White,,,,,,"€ 5,990.-"
,,,2103670,,Super Moto,,,,Gasoline,,Used,"1,600 km",,Rouge,,,,Fantic,,,,,,2021-05-01,125 cc,,Red,,,,,,"€ 4,990.-"
,,,2103708,,Naked Bike,,,,Gasoline,,Used,"5,699 km",,Blanc,,,,KawasakiZ 900,,,,,,2019-10-01,900 cc,,White,,,,,,"€ 8,990.-"
,,New,#B021753,,Sport touring,,Manual,,Gasoline,,Used,"18,322 km",,,,,,DucatiMultistrada 1200,"Electric Starter
Topcase",,,Catalytic Converter,112 kW (152 hp),2017-06-01,"1,200 cc",ABS,Red,1,,,,,"€ 15,990.-"
,,,2103432,,Naked Bike,,,,Gasoline,,Used,"34,736 km",,Noir,,,,YamahaMT-10,,,,,,2016-06-01,"1,000 cc",,Black,,,,,,"€ 9,500.-"
,,,2051647,,Tourer,,,,Gasoline,,Used,352 km,,Bordeaux,,,,Royal EnfieldInterceptor,,,,,,2022-06-01,650 cc,,Red,,,,,,"€ 6,599.-"
,,,2010647,,Chopper/Cruiser,,,,Gasoline,,Used,252 km,,Rouge,,,,Royal EnfieldContinental GT,,,,,,2022-05-01,650 cc,,Red,,,,,,"€ 6,799.-"
,,,2103640,,Naked Bike,,,,Gasoline,,Used,"3,305 km",,GRIS,,,,YamahaMT-125,,,,,,2015-06-01,125 cc,,Grey,,,,,,"€ 3,290.-"
,,,2103639,,Naked Bike,,,,Gasoline,,Used,"13,717 km",,GRIS,,,,HondaCB 650,,,,,,2020-07-01,650 cc,,Grey,,,,,,"€ 6,900.-"
,,,2103638,,Chopper/Cruiser,,,,Gasoline,,Used,"2,968 km",,VERT,,,,IndianScout,,,,,,2017-09-01,"1,133 cc",,Green,,,,,,"€ 12,990.-"
,,,2103725,,Tourer,,,,Gasoline,,Used,"21,090 km",,BLEU,,,,SuzukiXF 650,,,,,,2011-06-01,650 cc,,Blue,,,,,,"€ 4,490.-"
,,,2103637,,Naked Bike,,,,Gasoline,,Used,"11,825 km",,BLEU,,,,SuzukiSV 650,,,,,,2016-10-01,650 cc,,Blue,,,,,,"€ 4,700.-"
,,,2103721,,Scooter,,,,Gasoline,,Used,"28,280 km",,NOIR,,,,TriumphBonneville T120,,,,,,2016-06-01,"1,200 cc",,Black,,,,,,"€ 9,990.-"
,,,2103724,,Scooter,,,,Gasoline,,Used,"3,580 km",,NOIR,,,,Kawasaki,,,,,,2020-01-01,125 cc,,Black,,,,,,"€ 3,490.-"
,,,2103636,,Enduro Bike,,,,Gasoline,,Used,"57,092 km",,GRIS,,,,YamahaTDM 850,,,,,,2000-03-01,850 cc,,Grey,,,,,,"€ 2,850.-"
,,,2103722,,Naked Bike,,,,Gasoline,,Used,"46,575 km",,BLANC,,,,HondaCTX 1300,,,,,,2014-02-01,"1,300 cc",,White,,,,,,"€ 7,990.-"
,,,2103635,,Naked Bike,,,,Gasoline,,Used,"45,990 km",,BLEU,,,,KawasakiZ 750,,,,,,2005-08-01,750 cc,,Blue,,,,,,"€ 3,250.-"
,,,2103634,,Supersport,,,,Gasoline,,Used,"18,447 km",,BLANC,,,,SuzukiGSX 1300,,,,,,2021-12-01,"1,300 cc",,White,,,,,,"€ 14,900.-"
,,,2103720,,Tourer,,,,Gasoline,,Used,"24,430 km",,Gris,,,,BMWR 1200 RT,,,,,,2011-05-01,"1,200 cc",,Grey,,,,,,"€ 9,290.-"
,,,2103719,,Naked Bike,,,,Gasoline,,Used,"4,940 km",,BLEU,,,,HondaHornet,,,,,,2013-08-01,600 cc,,Blue,,,,,,"€ 5,490.-"
,,,,,Others,,,,Gasoline,,Used,"37,000 km",,,,,,YamahaFZ 6,"Cover panel
Electric Starter
Topcase",,,,72 kW (98 hp),2006-06-01,,"ABS
Alarm system",Black,,,,,,"€ 1,800.-"
,,Jul-23,,,Enduro Bike,Metallic,Manual,2,Gasoline,6,Used,"102,833 km",,,,Apr-22,,BMWR 1150 GS,"Cover panel
Electric Starter
Windshield",,,Catalytic Converter,83 kW (113 hp),2001-04-01,"1,150 cc",,Silver,1,,,MP3,,"€ 5,900.-"
,,,,,Others,,,,Gasoline,,Used,"31,000 km",,,,,,HondaSH 125,,,,,7 kW (10 hp),2014-06-01,,,Black,,,,,,"€ 2,100.-"
,,,,,Scooter,Metallic,Automatic,1,Two Stroke Gasoline,,Used,"4,600 km",Yes,,,,,VespaLX 50,"Electric Starter
Kickstarter
Topcase",,,,3 kW (4 hp),2009-04-01,50 cc,,,1,,,,,"€ 1,999.-"
,,,17306014,,Scooter,Metallic,Manual,,Gasoline,,Used,"64,000 km",,Nero,,,,MBKSkyliner 250,,,,,15 kW (20 hp),2003-05-01,250 cc,,Black,,,,,,"€ 1,200.-"
,,New,STD-TOM220036,12 months,Streetfighter,,,,Gasoline,,Used,"10,375 km",,Nero,,,,YamahaXJR 1300,,,Euro 3,,72 kW (98 hp),2015-11-01,"1,300 cc",,,1,Italy,,,,"€ 7,490.-"
,,New,BRG-TOM220144,12 months,Super Moto,,,,Gasoline,,Used,"56,694 km",,Rosso,,,,ApriliaDorsoduro,,,Euro 3,,34 kW (46 hp),2009-01-01,750 cc,,,3,Italy,,,,"€ 6,280.-"
,,,17306803,,Supersport,,Manual,,Gasoline,,Used,"8,200 km",,Rosso,,,,Ducati996,,,,,96 kW (131 hp),2001-04-01,996 cc,,Red,,,,,,"€ 37,000.-"
,,,,,Others,,Manual,2,Gasoline,6,Used,"22,200 km",Yes,,,,,DucatiMonster 695,,,,,52 kW (71 hp),2007-12-01,695 cc,,Red,1,,,,,"€ 3,200.-"
,,,17307831,,Supersport,,Manual,,Gasoline,,Used,"6,200 km",,Blu,,,,BMWS 1000 XR,,,,,121 kW (165 hp),2021-12-01,"1,000 cc",ABS,Blue,,,,,,"€ 19,900.-"
,,,,,Others,,,,Gasoline,,Used,"30,000 km",,,,Jun-22,,HondaHornet,,,,,600 kW (816 hp),2000-06-01,,,Black,,,,,,"€ 2,000.-"
,Feb-22,Aug-23,,,Others,Metallic,,,Gasoline,,Used,"33,000 km",,,,Feb-22,,GileraRunner 125,,,,,11 kW (15 hp),2003-04-01,,,Brown,,,,,,"€ 1,300.-"
,,Jan-22,,,Scooter,,Automatic,,Gasoline,,Used,"5,800 km",,,,May-21,,ApriliaSR 50,"Electric Starter
Kickstarter",,,,3 kW (4 hp),2017-06-01,,,White,,,,,,"€ 1,300.-"
,,Jul-23,,,Others,,,,Gasoline,,Used,"20,300 km",,,,,,KawasakiNinja ZX-10R,,,,,129 kW (175 hp),2005-07-01,,,Green,,,,,,"€ 6,000.-"
,May-20,,,,Others,,,,Gasoline,,Used,"21,000 km",,,,May-22,,PiaggioLiberty 125,,,,,7 kW (10 hp),2010-08-01,,,White,,,,,,"€ 1,100.-"
,,,,,Quad,,Automatic,,Gasoline,,Used,"4,250 km",Yes,,,Mar-22,,Can AmRenegade,,,,,70 kW (95 hp),2014-07-01,,,,2,,,,,"€ 10,500.-"
220 kg,,,,,Others,Metallic,Manual,3,Gasoline,,Used,"30,000 km",,,,Jan-22,,BenelliCafe Racer,,,,,99 kW (135 hp),2006-11-01,"1,130 cc",,Gold,,,,,,"€ 8,000.-"
,,,,,Others,,,,Gasoline,,Used,"23,300 km",,,,,,PiaggioApe,,,Euro 2,,2 kW (3 hp),2008-01-01,50 cc,,Red,,,,,,"€ 2,500.-"
,,Apr-23,,,Naked Bike,Metallic,Manual,4,Gasoline,6,Used,"15,800 km",Yes,,,May-17,,SuzukiGSR 750,"Crash bar
Electric Starter
Windshield",,,,78 kW (106 hp),2011-04-01,749 cc,Immobilizer,Red,3,,,,,"€ 5,800.-1"
,,,,,Chopper/Cruiser,Metallic,,,Gasoline,,Used,"45,500 km",,,,,,KawasakiVN 800,,,,,41 kW (56 hp),1999-06-01,,,Green,2,,,,,"€ 5,700.-"
,,,,,Touring Enduro,Metallic,Manual,,Gasoline,6,Used,"31,000 km",Yes,,,Mar-22,,BMWR 1200 GS Adventure,"Crash bar
Cruise control
Hot bar end
Topcase
Windshield",,,Catalytic Converter,92 kW (125 hp),2016-09-01,,"ABS
Alarm system
Traction control",Black,,,,,,"€ 16,750.-"
,,Jun-23,,,Others,,,,Gasoline,,Used,"10,000 km",,,,,,BMWF 650 GS,,,,,37 kW (50 hp),2002-06-01,,,Blue,,,,,,"€ 2,850.-"
,,Oct-22,,,Scooter,Metallic,Automatic,1,Gasoline,,Used,"54,800 km",,,,,,HondaCN 250,"Electric Starter
Topcase
Windshield",,,,13 kW (18 hp),1994-07-01,250 cc,,Brown,,,4 l/100 km (comb.),,,"€ 1,100.-"
,,,,,Naked Bike,,Manual,,Gasoline,,New,,,,,,,BenelliLeoncino,Electric Starter,,,Catalytic Converter,56 kW (76 hp),,800 cc,ABS,Green,,,,,,"€ 7,999.-1"
,,Sep-23,,,Quad,,Automatic,,Gasoline,,Used,"2,550 km",Yes,,,,,TGBBlade 1000,"Electric Starter
Topcase",,,,62 kW (84 hp),2019-07-01,"1,000 cc",,Blue,,,,,,"€ 10,695.-"
,,,,,Moped,,Manual,,Gasoline,,New,,,Grün + weiß +grau,,,,BenelliLeoncino,Electric Starter,,,,9 kW (12 hp),,125 cc,,Green,,,,,,"€ 3,199.-1"
,,,,,Moped,,Manual,,Gasoline,,New,,,Flash green,,,,BenelliBN 125,Electric Starter,,,,8 kW (11 hp),,125 cc,,Green,,,,,,"€ 2,499.-1"
380 kg,,,,,Touring Enduro,,Manual,6,Gasoline,5,Used,"178,060 km",,,,May-22,,HondaGL 1500,"Crash bar
Cruise control
Topcase
Windshield",,,,78 kW (106 hp),1996-10-01,"1,500 cc",Immobilizer,Violet,1,,,"MP3
Radio",,"€ 6,000.-"
224 kg,,Nov-22,,,Naked Bike,Metallic,Manual,2,Gasoline,6,Used,"4,892 km",Yes,,,Jun-22,,TriumphScrambler,"Crash bar
Cruise control
Electric Starter
Hot bar end",,Euro 4,Catalytic Converter,66 kW (90 hp),2020-11-01,"1,200 cc","ABS
Traction control",Green,1,,4.6 l/100 km (comb.),"Bluetooth
MP3",,"€ 13,880.-"
229 kg,,Jun-22,,,Chopper/Cruiser,,Manual,2,Gasoline,5,Used,"45,420 km",,Creme,,Mar-20,,HondaVT 750,"Cover panel
Crash bar
Electric Starter
Windshield",,Euro 3,,33 kW (45 hp),2000-06-01,749 cc,,Green,1,,,,,"€ 3,500.-"
,,Jun-24,,,Tourer,,Manual,1,Gasoline,5,Used,"11,500 km",,,,,,MZETZ 251,"Kickstarter
Windshield",,,,15 kW (20 hp),1990-06-01,250 cc,,Black,,,,,,"€ 4,700.-"
,,,,,Scooter,,Automatic,,Gasoline,,Used,"15,500 km",,,,,,YamahaTMAX 530,,,Euro 3,,34 kW (46 hp),2012-07-01,530 cc,,Grey,1,,,,,"€ 7,500.-"
,,,1207053,60 months,Enduro Bike,,Automatic,,Gasoline,6,Used,"2,900 km",,,2,,,Honda,"Cover panel
Crash bar
Electric Starter
Topcase
Windshield",,Euro 6,,75 kW (102 hp),2021-05-01,"1,084 cc","ABS
Alarm system",White,1,,,,,"€ 17,500.-"
,,,1207035,,Supersport,,Manual,,Gasoline,1,Used,"10,600 km",,Blu,2,,,BMWK 1200 RS,"Cover panel
Electric Starter
Topcase",,Euro 1,Catalytic Converter,96 kW (131 hp),2001-08-01,"1,171 cc",,Blue,1,,,,,"€ 5,800.-"
,,,1207063,,Chopper/Cruiser,,Manual,,Gasoline,6,Used,"23,500 km",,,2,,,Moto Guzzi1100 Sport,,,,,66 kW (90 hp),1998-01-01,"1,064 cc",,Black,2,,,,,"€ 25,000.-"
,,,1207047,,Supersport,,Manual,,Gasoline,6,Used,"14,300 km",,,2,,,Ducati916,Electric Starter,,,,80 kW (109 hp),1995-05-01,916 cc,,Red,4,,,,,"€ 35,000.-"
,,,1207060,,Touring Enduro,Metallic,Manual,,Gasoline,1,Used,"48,000 km",,,2,,,SuzukiBandit 1200,,,Euro 1,,72 kW (98 hp),2000-10-01,"1,157 cc",,Black,,,,,,"€ 6,000.-"
,,,1207071,,Others,,Manual,,Diesel,,Used,"17,600 km",,,,,,Piaggio,Electric Starter,,,Catalytic Converter,7 kW (10 hp),2010-08-01,422 cc,,White,3,,,,,"€ 18,000.-"
,,,1207034,,Naked Bike,,Manual,,Gasoline,6,Used,"35,589 km",,,2,,,KawasakiZ 750,"Cover panel
Electric Starter",,Euro 3,Catalytic Converter,78 kW (106 hp),2007-07-01,748 cc,Alarm system,Black,3,,,,,"€ 4,000.-"
,,,1207032,,Enduro Bike,,Manual,,Gasoline,4,Used,"18,736 km",,,2,,,Ducati,Kickstarter,,,,12 kW (16 hp),1977-05-01,340 cc,,Red,2,,,,,"€ 7,000.-"
177 kg,,Oct-23,,,Naked Bike,,Manual,1,Gasoline,5,Used,"67,633 km",,,,Oct-21,,HondaXBR 500,Kickstarter,,,,32 kW (44 hp),1986-04-01,498 cc,,Blue,,,5 l/100 km (comb.),,,€ 600.-
,,Jun-21,,,Others,,,,Gasoline,,Used,"33,000 km",,,,Apr-21,,TriumphSpeed Triple R,,,,,103 kW (140 hp),2014-04-01,,,White,,,,,,"€ 7,200.-"
,,,,,Supersport,,Manual,4,Gasoline,6,Used,"35,000 km",,,,,,SuzukiGSX-R 750,Electric Starter,,,,110 kW (150 hp),2011-03-01,750 cc,,White,2,,,,,"€ 7,200.-"
150 kg,,,,,Scooter,Metallic,Automatic,,Gasoline,,Used,"13,683 km",,,,,,VespaGTV 250,"Crash bar
Electric Starter",,,,15 kW (20 hp),2008-08-01,244 cc,,Green,1,,,,,"€ 4,800.-"
153 kg,,Oct-22,,,Scooter,Metallic,Automatic,1,Gasoline,,Used,"38,400 km",,,,,,KymcoYager GT,Electric Starter,,Euro 3,,9 kW (12 hp),2007-08-01,125 cc,,Silver,3,,,,,€ 799.-1
,,,,,Others,Metallic,,,Gasoline,,Used,"26,000 km",,,,,,HondaCB 750 four,,,,,49 kW (67 hp),1972-06-01,436 cc,,Gold,,,,,,"€ 10,500.-"
120 kg,,May-24,,,Naked Bike,,,2,Gasoline,6,Used,"37,000 km",,,,May-22,,KTM990 Super Duke,,,,,96 kW (131 hp),2008-01-01,999 cc,,,2,,,,,"€ 4,800.-"
,,Jan-22,,,Others,,,,Gasoline,,Used,"26,000 km",,,,Jul-21,,HondaVFR 400,,,,,43 kW (58 hp),1989-06-01,,,Black,,,,,,"€ 2,500.-"
,,,,,Others,,,,Gasoline,,Used,"38,000 km",,,,,,YamahaXJ 600,,,,,48 kW (65 hp),1998-06-01,,,White,,,,,,"€ 1,450.-"
,,,,,Sport touring,Metallic,Manual,2,Gasoline,6,Used,"35,000 km",Yes,,,,,BMWF 800 GT,"Cover panel
Crash bar
Electric Starter
Hot bar end
Topcase
Windshield",,,,35 kW (48 hp),2017-06-01,798 cc,"ABS
Alarm system
Immobilizer",Blue,,,4.3 l/100 km (comb.),,,"€ 9,500.-"
250 kg,,Apr-24,,,Others,,Manual,2,Gasoline,5,Used,"32,248 km",,,,Apr-22,,YamahaXV 535,Electric Starter,,,,37 kW (50 hp),2001-06-01,535 cc,,Red,,,,,,"€ 2,490.-"
,,,,,Supersport,,Manual,4,Gasoline,6,Used,"62,000 km",,,,,,YamahaYZF-R6,,,,,88 kW (120 hp),2003-07-01,599 cc,,White,2,,,,,"€ 1,500.-"
,,Jun-23,,,Scooter,Metallic,Automatic,,Gasoline,,Used,980 km,Yes,,,Jun-22,,VespaGTS 300,Topcase,,,,16 kW (22 hp),2016-06-01,278 cc,"ABS
Immobilizer",Blue,1,,,,,"€ 4,900.-"
,,,,,Others,,Manual,,Gasoline,,Used,"2,500 km",,,,,,IndianScout,,,,,70 kW (95 hp),2020-07-01,"1,133 cc",,Blue,,,,,,"€ 13,500.-"
,,,,,Naked Bike,Metallic,,,Gasoline,,Used,"5,500 km",,,,,,YamahaMT-09,,,Euro 5,,87 kW (118 hp),2021-05-01,890 cc,,Silver,1,,,,,"€ 9,200.-"
,,,220837,,Scooter,,Automatic,,Electric,,Used,250 km,,GRIS,2,,,SilenceS01,,,,,,2022-05-01,125 cc,,Grey,,,,,0 g/km (comb.),"€ 8,290.-"
,,,220675,,Scooter,,Automatic,,Electric,,Used,10 km,,VERT,2,,,SilenceS01,,,,,,2022-05-01,125 cc,,Green,,,,,0 g/km (comb.),"€ 7,290.-"
,,,,,Others,,Manual,,Gasoline,6,Used,"67,000 km",,,,,,BMWR 1200 GS,"Cover panel
Crash bar
Cruise control
Electric Starter
Hot bar end
Topcase",,,Sport suspension,79 kW (107 hp),2014-07-01,,"ABS
Immobilizer
Traction control",Silver,2,,,,,"€ 11,250.-"
,,,220674,,Scooter,,Automatic,,Electric,,Used,10 km,,VERT,2,,,SilenceS01,,,,,,2022-05-01,125 cc,,Green,,,,,0 g/km (comb.),"€ 7,290.-"
,,,220672,,Scooter,,Automatic,,Electric,,Used,10 km,,VERT,2,,,SilenceS01,,,,,,2022-05-01,125 cc,,Green,,,,,0 g/km (comb.),"€ 7,290.-"
,,,220669,,Scooter,,Automatic,,Electric,,Used,10 km,,NOIR,2,,,SilenceS01,,,,,,2022-05-01,125 cc,,Black,,,,,0 g/km (comb.),"€ 7,290.-"
,,,220667,,Scooter,,Automatic,,Electric,,Used,10 km,,NOIR,2,,,SilenceS01,,,,,,2022-06-01,125 cc,,Black,,,,,0 g/km (comb.),"€ 7,290.-"
,,,220666,,Scooter,,Automatic,,Electric,,Used,10 km,,NOIR,2,,,SilenceS01,,,,,,2022-05-01,125 cc,,Black,,,,,0 g/km (comb.),"€ 7,290.-"
,,,220665,,Scooter,,Automatic,,Electric,,Used,10 km,,NOIR,2,,,SilenceS01,,,,,,2022-05-01,125 cc,,Black,,,,,0 g/km (comb.),"€ 7,290.-"
,,,220664,,Scooter,,Automatic,,Electric,,Used,10 km,,BLANC,2,,,SilenceS01,,,,,,2022-05-01,125 cc,,White,,,,,0 g/km (comb.),"€ 7,290.-"
,,,220663,,Scooter,,Automatic,,Electric,,Used,10 km,,BLANC,2,,,SilenceS01,,,,,,2022-05-01,125 cc,,White,,,,,0 g/km (comb.),"€ 7,290.-"
,,,220662,,Scooter,,Automatic,,Electric,,Used,10 km,,BLANC,2,,,SilenceS01,,,,,,2022-05-01,125 cc,,White,,,,,0 g/km (comb.),"€ 7,290.-"
,,,220661,,Scooter,,Automatic,,Electric,,Used,10 km,,BLANC,2,,,SilenceS01,,,,,,2022-05-01,125 cc,,White,,,,,0 g/km (comb.),"€ 7,290.-"
,,,220651,,Scooter,,Automatic,,Electric,,Used,10 km,,BLANC,2,,,SilenceS01,,,,,,2022-05-01,125 cc,,White,,,,,0 g/km (comb.),"€ 7,290.-"
,,,199749,,Scooter,,Automatic,,Electric,,Used,200 km,,BLANC,2,,,SilenceS01,,,,,,2022-01-01,125 cc,,White,,,,,0 g/km (comb.),"€ 6,190.-"
,,,199744,,Scooter,,Automatic,,Electric,,Used,10 km,,VERT,2,,,SilenceS01,,,,,,2022-05-01,125 cc,,Green,,,,,0 g/km (comb.),"€ 6,790.-"
,,,199741,,Scooter,,Automatic,,Electric,,Used,10 km,,NOIR,2,,,SilenceS01,,,,,,2022-06-01,125 cc,,Black,,,,,0 g/km (comb.),"€ 6,790.-"
,,,199737,,Scooter,,Automatic,,Electric,,Used,10 km,,NOIR,2,,,SilenceS01,,,,,,2022-06-01,125 cc,,Black,,,,,0 g/km (comb.),"€ 6,790.-"
,,,199723,,Scooter,,Automatic,,Electric,,Used,10 km,,BLANC,2,,,SilenceS01,,,,,,2022-05-01,125 cc,,White,,,,,0 g/km (comb.),"€ 7,290.-"
,,,,,Others,,,,Gasoline,,Used,"24,309 km",,,,,,SuzukiGSX-R 600,,,,,85 kW (116 hp),2002-02-01,,,Blue,,,,,,"€ 2,750.-"
,,,,,Others,,,,Gasoline,,Used,"5,000 km",Yes,,,,,KymcoDowntown 125i,"Cover panel
Electric Starter
Windshield",,,,10 kW (14 hp),2020-06-01,,"ABS
Traction control",Grey,,,,"Bluetooth
Hands-free equipment
MP3",,"€ 3,300.-"
187 kg,,May-24,,,Others,Metallic,,3,Gasoline,,Used,"9,400 km",Yes,,,May-22,,TriumphStreet Triple RS,"Hot bar end
Windshield",,,,91 kW (124 hp),2020-04-01,765 cc,"ABS
Traction control",Silver,1,,,"Bluetooth
MP3",,"€ 10,600.-"
153 kg,,,,,Naked Bike,,Manual,1,Gasoline,,Used,"10,880 km",Yes,,,Dec-21,,KTM125 Duke,"Crash bar
Electric Starter
Hot bar end
Topcase",,Euro 4,,11 kW (15 hp),2018-10-01,125 cc,ABS,Orange,1,,,,,"€ 3,900.-"
,,Nov-22,,,Naked Bike,,Manual,2,Gasoline,6,Used,"10,200 km",,,,Jul-21,,SuzukiGladius 650,"Electric Starter
Hot bar end",,,Catalytic Converter,53 kW (72 hp),2010-03-01,650 cc,ABS,White,4,,,,,"€ 4,399.-"
396 kg,,Oct-22,,,Tourer,Metallic,Manual,6,Gasoline,5,Used,"52,672 km",,,,Oct-21,,HondaGL 1500,"Cover panel
Cruise control
Electric Starter
Topcase
Windshield",,,,74 kW (101 hp),1994-10-01,"1,520 cc",,Blue,2,,"7.5 l/100 km (comb.)
9 l/100 km (city)
6.5 l/100 km (country)","Hands-free equipment
Radio",157 g/km (comb.),"€ 5,990.-"
,,,,,Others,,,,Gasoline,,Used,300 km,,,,,,KymcoX-Town,"Hot bar end
Topcase",,,,16 kW (22 hp),2021-11-01,,ABS,Grey,,,,,,"€ 3,000.-"
,,,485637,45 months,Others,,,0,Gasoline,0,Used,"12,047 km",,Light white/Racing blue metali,0,,2021,BMWS 1000 XR,"Cruise control
Hot bar end
Windshield",,,,121 kW (165 hp),2021-03-01,999 cc,"ABS
Traction control",,1,,,,0 g/km (comb.),"€ 19,490.-"
