address,area,price,floor,room,buildingLine
19,72.0,4.75,3.0,5.0,6.0
9,160.0,27.0,2.0,1.0,1.0
12,46.0,9.0,5.0,5.0,4.0
19,71.0,1.95,4.0,6.0,8.0
17,102.0,2.19,2.0,2.0,7.0
15,38.0,2.19,4.0,4.0,4.0
2,32.0,2.1,3.0,4.0,3.0
2,32.0,2.09,3.0,4.0,3.0
15,33.0,2.1,4.0,4.0,3.0
15,36.0,1.89,4.0,4.0,3.0
15,36.0,1.71,4.0,4.0,3.0
15,41.0,2.3,4.0,4.0,3.0
15,33.0,1.96,3.0,3.0,3.0
15,32.0,1.67,3.0,4.0,3.0
15,33.0,1.96,3.0,3.0,3.0
15,35.0,1.7,3.0,3.0,3.0
15,32.0,1.74,3.0,4.0,4.0
2,64.0,1.59,3.0,3.0,4.0
15,33.0,2.03,3.0,4.0,3.0
15,38.0,1.96,3.0,4.0,6.0
15,32.0,1.73,3.0,4.0,3.0
15,41.0,1.63,4.0,4.0,3.0
15,32.0,2.03,3.0,3.0,3.0
15,34.0,2.11,4.0,3.0,3.0
15,33.0,1.94,4.0,4.0,4.0
15,38.0,2.11,4.0,4.0,3.0
15,30.0,1.94,3.0,3.0,4.0
15,38.0,1.56,4.0,4.0,3.0
15,30.0,1.56,3.0,3.0,4.0
2,35.0,2.19,3.0,4.0,3.0
15,35.0,1.59,3.0,4.0,3.0
15,31.0,1.94,3.0,4.0,4.0
15,34.0,1.96,3.0,3.0,3.0
15,40.0,1.95,3.0,3.0,3.0
15,33.0,1.26,3.0,3.0,3.0
15,38.0,1.83,4.0,3.0,4.0
12,101.0,2.04,5.0,5.0,8.0
2,39.0,2.19,3.0,3.0,3.0
15,33.0,1.82,4.0,4.0,4.0
15,31.0,1.9,3.0,4.0,3.0
2,35.0,1.96,4.0,3.0,3.0
15,32.0,2.3,3.0,4.0,3.0
15,49.0,2.06,3.0,4.0,15.0
15,32.0,1.69,3.0,4.0,4.0
2,32.0,1.96,3.0,4.0,4.0
15,33.0,2.06,4.0,3.0,3.0
15,32.0,1.69,3.0,4.0,4.0
2,32.0,1.96,3.0,4.0,4.0
15,33.0,1.63,4.0,3.0,3.0
15,32.0,8.7,3.0,4.0,4.0
15,34.0,3.5,3.0,3.0,3.0
20,32.0,18.5,4.0,4.0,15.0
12,37.0,16.9,8.0,1.0,8.0
20,65.0,6.0,4.0,5.0,5.0
20,45.0,16.5,4.0,5.0,5.0
17,110.0,45.0,12.0,4.0,4.0
18,65.0,11.6,8.0,7.0,15.0
19,113.0,74.0,5.0,5.0,15.0
16,76.0,33.0,4.0,5.0,20.0
19,131.0,10.5,6.0,8.0,15.0
19,73.0,11.6,10.0,9.0,10.0
16,110.0,15.0,1.0,3.0,4.0
16,56.0,11.75,5.0,5.0,3.0
16,196.0,13.9,4.0,3.0,5.0
16,120.0,8.0,19.0,10.0,6.0
16,70.0,10.5,4.0,6.0,12.0
10,62.0,11.6,1.0,1.0,15.0
16,110.0,15.0,6.0,3.0,15.0
16,56.0,11.75,3.0,7.0,6.0
16,196.0,13.9,4.0,3.0,15.0
16,120.0,8.0,19.0,5.0,30.0
16,70.0,7.0,4.0,6.0,5.0
10,62.0,7.0,1.0,1.0,15.0
17,50.0,10.5,4.0,5.0,15.0
17,55.0,10.0,4.0,4.0,10.0
16,200.0,14.9,4.0,4.0,10.0
16,51.0,3.6,4.0,4.0,5.0
10,90.0,10.3,1.0,1.0,15.0
14,45.0,10.0,4.0,4.0,6.0
10,65.0,5.4,3.0,5.0,15.0
16,60.0,4.2,3.0,4.0,10.0
10,55.0,24.0,2.0,2.0,15.0
10,36.0,19.5,3.0,4.0,8.0
17,105.0,10.6,5.0,5.0,10.0
10,142.0,12.99,36.0,7.0,10.0
16,134.0,4.2,6.0,5.0,6.0
9,52.0,24.0,3.0,5.0,10.0
10,36.0,19.5,3.0,4.0,8.0
17,105.0,10.6,5.0,5.0,10.0
10,142.0,12.99,36.0,7.0,10.0
16,134.0,18.5,4.0,3.0,27.0
9,52.0,36.0,3.0,5.0,10.0
19,80.0,5.5,2.0,3.0,10.0
19,86.0,5.5,6.0,8.0,10.0
9,50.0,7.0,3.0,4.0,3.0
9,50.0,6.25,3.0,4.0,3.0
11,50.0,48.0,5.0,4.0,10.0
9,60.0,8.6,4.0,4.0,3.0
10,150.0,45.0,30.0,9.0,15.0
20,49.0,6.2,3.0,5.0,30.0
11,180.0,7.6,38.0,10.0,15.0
9,33.0,10.0,6.0,5.0,5.0
20,40.0,12.8,2.0,3.0,10.0
20,55.0,14.0,4.0,1.0,11.0
16,102.0,13.0,4.0,5.0,4.0
18,55.0,8.6,6.0,4.0,10.0
16,56.0,45.0,4.0,5.0,40.0
20,49.0,6.2,4.0,4.0,6.0
11,180.0,7.6,38.0,10.0,15.0
9,33.0,10.0,6.0,4.0,7.0
20,40.0,12.8,3.0,5.0,3.0
20,55.0,14.0,5.0,3.0,12.0
16,102.0,13.0,3.0,3.0,3.0
18,55.0,13.0,4.0,4.0,3.0
16,56.0,5.5,4.0,5.0,40.0
20,46.0,5.3,2.0,2.0,21.0
20,35.0,3.95,5.0,4.0,6.0
20,33.0,16.4,4.0,5.0,12.0
16,28.0,5.8,4.0,4.0,11.0
16,185.0,14.3,3.0,4.0,5.0
16,48.0,6.0,4.0,5.0,8.0
16,61.0,7.5,4.0,4.0,40.0
16,20.0,12.2,3.0,4.0,30.0
16,42.0,9.2,9.0,6.0,3.0
16,50.0,1.1,3.0,5.0,20.0
19,45.0,12.2,3.0,3.0,7.0
14,18.0,9.2,2.0,5.0,1.0
16,50.0,1.1,4.0,6.0,20.0
19,45.0,10.8,3.0,3.0,7.0
14,18.0,6.3,2.0,5.0,1.0
19,500.0,2.9,10.0,4.0,10.0
15,45.0,5.2,4.0,5.0,18.0
9,30.0,5.2,2.0,3.0,3.5
9,50.0,0.01,3.0,4.0,3.0
9,50.0,12.5,3.0,4.0,3.0
15,65.0,9.4,5.0,5.0,9.0
15,80.0,15.6,5.0,5.0,9.0
20,35.0,5.7,8.0,6.0,15.0
16,80.0,28.6,6.0,4.0,2.5
0,100.0,30.5,1.0,1.0,3.5
16,130.0,5.7,18.0,4.0,40.0
19,94.0,16.0,11.0,7.0,2.0
9,40.0,12.4,4.0,5.0,5.0
16,90.0,15.4,5.0,1.0,5.0
16,75.0,17.9,3.0,4.0,3.0
16,63.0,5.7,4.0,4.0,40.0
16,86.0,16.0,5.0,6.0,8.0
9,40.0,12.4,4.0,5.0,5.0
16,90.0,15.4,4.0,4.0,20.0
16,75.0,17.9,3.0,4.0,3.0
16,63.0,23.4,6.0,4.0,40.0
16,86.0,0.01,4.0,4.0,6.0
13,32.0,5.0,3.0,1.0,3.0
18,105.0,10.8,9.0,9.0,30.0
16,30.0,4.75,6.0,5.0,3.0
14,58.0,24.4,3.0,5.0,4.0
14,46.0,7.25,5.0,6.0,4.0
9,50.0,0.0,8.0,6.0,10.0
16,52.0,5.5,5.0,5.0,5.0
16,281.0,11.5,3.0,4.0,3.0
19,50.0,23.4,4.0,5.0,3.0
9,54.0,3.6,1.0,1.0,10.0
13,34.0,5.8,4.0,4.0,5.0
9,45.0,3.2,3.0,5.0,3.0
15,50.0,8.6,3.0,7.0,16.0
9,30.0,3.2,3.0,5.0,3.0
16,30.0,8.6,5.0,2.0,6.0
9,30.0,3.2,3.0,5.0,3.0
16,30.0,3.6,4.0,5.0,15.0
9,30.0,13.0,3.0,5.0,3.0
9,45.0,7.8,3.0,5.0,3.0
16,45.0,5.4,4.0,4.0,3.0
9,60.0,30.0,1.0,2.0,10.0
19,25.0,9.4,3.0,5.0,10.0
16,130.0,21.0,20.0,6.0,50.0
16,60.0,7.0,4.0,3.0,10.0
20,63.0,21.0,8.0,7.0,10.0
16,30.0,25.0,5.0,4.0,15.0
20,63.0,17.6,8.0,7.0,3.0
20,64.0,2.45,3.0,3.0,50.0
14,85.0,21.0,8.0,7.0,10.0
15,33.0,9.08,3.0,4.0,3.0
16,125.0,12.0,4.0,4.0,20.0
18,52.0,12.8,6.0,4.0,7.0
9,36.0,11.4,4.0,4.0,18.0
15,48.0,11.4,3.0,4.0,1.0
16,60.0,3.6,36.0,5.0,5.0
16,60.0,3.65,5.0,6.0,15.0
9,45.0,16.0,3.0,5.0,3.0
12,60.0,2.35,3.0,4.0,3.5
15,58.0,5.4,4.0,4.0,35.0
15,32.0,0.72,3.0,5.0,2.0
19,25.0,3.2,3.0,5.0,10.0
4,60.0,3.2,7.0,5.0,25.0
9,30.0,3.2,3.0,5.0,3.0
9,30.0,3.2,3.0,5.0,3.0
9,30.0,3.2,3.0,5.0,3.0
9,30.0,3.2,3.0,5.0,3.0
9,30.0,16.5,3.0,5.0,3.0
9,30.0,0.01,3.0,5.0,3.0
