address,area,price,floor,room,buildingLine
" Phố Bồ Đề, Phường Bồ Đề, Quận Long Biên, Hà Nội",38m2,"4,888 tỷ ",---,---,---
" Đường Yên Phụ, Phường Yên Phụ, Quận Tây Hồ, Hà Nội",59m2,24 tỷ ,4,4,6m
" Đường Nguyễn Xiển, Phường Hạ Đình, Quận Thanh Xuân, Hà Nội",99m2,"6,4 tỷ ",1,1,40m
" Đường Nguyễn Sơn, Phường Bồ Đề, Quận Long Biên, Hà Nội",96m2,"5,555 tỷ ",---,---,---
" Đường Từ Hoa, Phường Quảng An, Quận Tây Hồ, Hà Nội",111m2,90 tỷ ,13,7,15m
" Đường Kim Mã, Phường Ngọc Khánh, Quận Ba Đình, Hà Nội",66m2,"16,5 tỷ ",5,4,5m
" Đường Lạc Long Quân, Phường Bưởi, Quận Tây Hồ, Hà Nội",108m2,"28,5 tỷ ",5,5,10m
" Đường Hoàng Hoa Thám, Phường Liễu Giai, Quận Ba Đình, Hà Nội",76m2,18 tỷ ,5,5,6m
" Đường Yên Phụ, Phường Yên Phụ, Quận Tây Hồ, Hà Nội",266m2,68 tỷ ,3,3,15m
" Phố Yên Hoa, Phường Yên Phụ, Quận Tây Hồ, Hà Nội",101m2,45 tỷ ,12,10,8m
" Phố Võng Thị, Phường Bưởi, Quận Tây Hồ, Hà Nội",106m2,30 tỷ ,9,7,5m
" Đường An Dương Vương, Phường Phú Thượng, Quận Tây Hồ, Hà Nội",50m2,"13,4 tỷ ",5,7,10m
" Phố Nhân Hòa, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",101m2,"20,2 triệu ",16,8,10m
" Đường Xuân Diệu, Phường Quảng An, Quận Tây Hồ, Hà Nội",136m2,36 tỷ ,6,5,4m
" Phố An Dương, Phường Yên Phụ, Quận Tây Hồ, Hà Nội",142m2,"16,8 tỷ ",4,3,8m
" Phố Yên Hoa, Phường Yên Phụ, Quận Tây Hồ, Hà Nội",101m2,45 tỷ ,12,10,8m
" Phố Võng Thị, Phường Bưởi, Quận Tây Hồ, Hà Nội",106m2,30 tỷ ,9,7,5m
" Đường An Dương Vương, Phường Phú Thượng, Quận Tây Hồ, Hà Nội",50m2,"13,4 tỷ ",5,7,10m
" Phố Nhân Hòa, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",101m2,"20,2 triệu ",16,8,10m
" Đường Xuân Diệu, Phường Quảng An, Quận Tây Hồ, Hà Nội",136m2,36 tỷ ,6,5,4m
" Phố An Dương, Phường Yên Phụ, Quận Tây Hồ, Hà Nội",142m2,"16,8 tỷ ",4,3,8m
" Đường Đỗ Quang, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội",66m2,23 tỷ ,---,---,---
" Đống Đa Phố Hoàng Cầu, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",120m2,25 tỷ ,5,2,15m
" 158 Đường Phan Trọng Tuệ, Xã Tả Thanh Oai, Huyện Thanh Trì, Hà Nội",76m2,66 triệu / m2  ,4,4,30m
" Phố Nhân Hòa, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",100m2,"20,8 triệu ",16,8,10m
" Phố Trung Kính, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội",190m2,"35,5 tỷ ",10,6,30m
" Phố Ngụy Như Kon Tum, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",50m2,"15,5 tỷ ",---,---,---
" Thanh Xuân Đường Nguyễn Tuân, Phường Thanh Xuân Trung, Quận Thanh Xuân, Hà Nội",40m2,4 tỷ ,---,---,---
" Đường Nguyễn Trãi, Phường Thượng Đình, Quận Thanh Xuân, Hà Nội",40m2,"7,9 tỷ ",4,5,8m
" Phố Nhân Hòa, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",63m2,"16,8 tỷ ",4,6,10m
" Đường Trần Phú, Phường Mộ Lao, Quận Hà Đông, Hà Nội",38m2,"9,8 tỷ ",4,5,8m
" Đường Quang Trung, Phường Quang Trung, Quận Hà Đông, Hà Nội",35m2,"9,2 tỷ ",4,5,30m
" Đường Nguyễn Viết Xuân, Phường Quang Trung, Quận Hà Đông, Hà Nội",85m2,"12,8 tỷ ",4,5,21m
" Đường Phùng Hưng, Phường Phúc La, Quận Hà Đông, Hà Nội",60m2,12 tỷ ,12,7,10m
" Đường Tô Hiệu, Phường Nguyễn Trãi, Quận Hà Đông, Hà Nội",60m2,11 tỷ ,4,4,12m
" Đường Nguyễn Thái Học, Phường Quang Trung, Quận Hà Đông, Hà Nội",35m2,"9,2 tỷ ",3,3,10m
